"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"New York"	"36"	"Enterocolitis due to Clostridium difficile"	"A04.7"	42	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	35	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	11	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Septicaemia due to streptococcus, group D"	"A40.2"	18	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	17	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Streptococcal septicaemia, unspecified"	"A40.9"	17	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	66	18882725	0.3
	"1999"	"1999"	"New York"	"36"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	53	18882725	0.3
	"1999"	"1999"	"New York"	"36"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	106	18882725	0.6
	"1999"	"1999"	"New York"	"36"	"Other specified septicaemia"	"A41.8"	26	18882725	0.1
	"1999"	"1999"	"New York"	"36"	"Septicaemia, unspecified"	"A41.9"	1914	18882725	10.1
	"1999"	"1999"	"New York"	"36"	"Staphylococcal infection, unspecified"	"A49.0"	24	18882725	0.1
	"1999"	"1999"	"New York"	"36"	"Other bacterial infections of unspecified site"	"A49.8"	13	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Bacterial infection, unspecified"	"A49.9"	51	18882725	0.3
	"1999"	"1999"	"New York"	"36"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	15	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Unspecified viral encephalitis"	"A86"	10	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	67	18882725	0.4
	"1999"	"1999"	"New York"	"36"	"Acute hepatitis C"	"B17.1"	248	18882725	1.3
	"1999"	"1999"	"New York"	"36"	"Chronic viral hepatitis C"	"B18.2"	26	18882725	0.1
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in mycobacterial infection"	"B20.0"	27	18882725	0.1
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in other bacterial infections"	"B20.1"	244	18882725	1.3
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in other viral infections"	"B20.3"	82	18882725	0.4
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in other mycoses"	"B20.5"	48	18882725	0.3
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	94	18882725	0.5
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in multiple infections"	"B20.7"	191	18882725	1.0
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	236	18882725	1.2
	"1999"	"1999"	"New York"	"36"	"HIV disease with Kaposi sarcoma"	"B21.0"	16	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	79	18882725	0.4
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in other malignant neoplasms"	"B21.8"	38	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in encephalopathy"	"B22.0"	16	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in wasting syndrome"	"B22.2"	29	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	97	18882725	0.5
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	32	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"HIV disease resulting in other specified conditions"	"B23.8"	766	18882725	4.1
	"1999"	"1999"	"New York"	"36"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	353	18882725	1.9
	"1999"	"1999"	"New York"	"36"	"Viral infection, unspecified"	"B34.9"	18	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Candidal septicaemia"	"B37.7"	33	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"Aspergillosis, unspecified"	"B44.9"	13	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Unspecified mycosis"	"B49"	54	18882725	0.3
	"1999"	"1999"	"New York"	"36"	"Pneumocystosis"	"B59"	33	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"Sequelae of poliomyelitis"	"B91"	12	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Sequelae of viral hepatitis"	"B94.2"	19	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	65	18882725	0.3
	"1999"	"1999"	"New York"	"36"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	124	18882725	0.7
	"1999"	"1999"	"New York"	"36"	"Floor of mouth, unspecified - Malignant neoplasms"	"C04.9"	11	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	50	18882725	0.3
	"1999"	"1999"	"New York"	"36"	"Malignant neoplasm of parotid gland"	"C07"	33	18882725	0.2
	"1999"	"1999"	"New York"	"36"	"Major salivary gland, unspecified - Malignant neoplasms"	"C08.9"	14	18882725	Unreliable
	"1999"	"1999"	"New York"	"36"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	23	18882725	0.1
