"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Pennsylvania"	"42"	"Enterocolitis due to Clostridium difficile"	"A04.7"	85	12263805	0.7
	"1999"	"1999"	"Pennsylvania"	"42"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	14	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	14	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Septicaemia due to streptococcus, group D"	"A40.2"	16	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	18	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Streptococcal septicaemia, unspecified"	"A40.9"	10	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	37	12263805	0.3
	"1999"	"1999"	"Pennsylvania"	"42"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	46	12263805	0.4
	"1999"	"1999"	"Pennsylvania"	"42"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	60	12263805	0.5
	"1999"	"1999"	"Pennsylvania"	"42"	"Other specified septicaemia"	"A41.8"	12	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Septicaemia, unspecified"	"A41.9"	2340	12263805	19.1
	"1999"	"1999"	"Pennsylvania"	"42"	"Staphylococcal infection, unspecified"	"A49.0"	33	12263805	0.3
	"1999"	"1999"	"Pennsylvania"	"42"	"Bacterial infection, unspecified"	"A49.9"	29	12263805	0.2
	"1999"	"1999"	"Pennsylvania"	"42"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	12	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	16	12263805	Unreliable
	"1999"	"1999"	"Pennsylvania"	"42"	"Acute hepatitis C"	"B17.1"	128	12263805	1.0
	"1999"	"1999"	"Pennsylvania"	"42"	"Chronic viral hepatitis C"	"B18.2"	17	12263805	Unreliable
