"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Tennessee"	"47"	"Enterocolitis due to Clostridium difficile"	"A04.7"	11	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	15	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	10	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	26	5638706	0.5
	"1999"	"1999"	"Tennessee"	"47"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	16	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	12	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Septicaemia, unspecified"	"A41.9"	483	5638706	8.6
	"1999"	"1999"	"Tennessee"	"47"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	17	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Acute hepatitis C"	"B17.1"	87	5638706	1.5
	"1999"	"1999"	"Tennessee"	"47"	"Chronic viral hepatitis C"	"B18.2"	11	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"HIV disease resulting in other bacterial infections"	"B20.1"	24	5638706	0.4
	"1999"	"1999"	"Tennessee"	"47"	"HIV disease resulting in other viral infections"	"B20.3"	13	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"HIV disease resulting in other mycoses"	"B20.5"	12	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"HIV disease resulting in multiple infections"	"B20.7"	19	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	20	5638706	0.4
	"1999"	"1999"	"Tennessee"	"47"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	11	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	24	5638706	0.4
	"1999"	"1999"	"Tennessee"	"47"	"HIV disease resulting in other specified conditions"	"B23.8"	52	5638706	0.9
	"1999"	"1999"	"Tennessee"	"47"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	48	5638706	0.9
	"1999"	"1999"	"Tennessee"	"47"	"Unspecified mycosis"	"B49"	13	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Sequelae of viral hepatitis"	"B94.2"	11	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	18	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	26	5638706	0.5
	"1999"	"1999"	"Tennessee"	"47"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	19	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of parotid gland"	"C07"	16	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	12	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	10	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	43	5638706	0.8
	"1999"	"1999"	"Tennessee"	"47"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	247	5638706	4.4
	"1999"	"1999"	"Tennessee"	"47"	"Cardia - Malignant neoplasms"	"C16.0"	11	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	222	5638706	3.9
	"1999"	"1999"	"Tennessee"	"47"	"Caecum - Malignant neoplasms"	"C18.0"	12	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	901	5638706	16.0
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of rectosigmoid junction"	"C19"	34	5638706	0.6
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of rectum"	"C20"	111	5638706	2.0
	"1999"	"1999"	"Tennessee"	"47"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	84	5638706	1.5
	"1999"	"1999"	"Tennessee"	"47"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	53	5638706	0.9
	"1999"	"1999"	"Tennessee"	"47"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	81	5638706	1.4
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of gallbladder"	"C23"	27	5638706	0.5
	"1999"	"1999"	"Tennessee"	"47"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	587	5638706	10.4
	"1999"	"1999"	"Tennessee"	"47"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	24	5638706	0.4
	"1999"	"1999"	"Tennessee"	"47"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	98	5638706	1.7
	"1999"	"1999"	"Tennessee"	"47"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	3778	5638706	67.0
	"1999"	"1999"	"Tennessee"	"47"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	16	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	155	5638706	2.7
	"1999"	"1999"	"Tennessee"	"47"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	17	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	18	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	14	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	51	5638706	0.9
	"1999"	"1999"	"Tennessee"	"47"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	844	5638706	15.0
	"1999"	"1999"	"Tennessee"	"47"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	15	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	108	5638706	1.9
	"1999"	"1999"	"Tennessee"	"47"	"Endometrium - Malignant neoplasms"	"C54.1"	50	5638706	0.9
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of uterus, part unspecified"	"C55"	67	5638706	1.2
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of ovary"	"C56"	279	5638706	4.9
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of prostate"	"C61"	661	5638706	11.7
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	231	5638706	4.1
	"1999"	"1999"	"Tennessee"	"47"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	210	5638706	3.7
	"1999"	"1999"	"Tennessee"	"47"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	252	5638706	4.5
	"1999"	"1999"	"Tennessee"	"47"	"Malignant neoplasm of thyroid gland"	"C73"	17	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	10	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Head, face and neck - Malignant neoplasms"	"C76.0"	40	5638706	0.7
	"1999"	"1999"	"Tennessee"	"47"	"Abdomen - Malignant neoplasms"	"C76.2"	11	5638706	Unreliable
	"1999"	"1999"	"Tennessee"	"47"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	23	5638706	0.4
	"1999"	"1999"	"Tennessee"	"47"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	59	5638706	1.0
