"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Virginia"	"51"	"Enterocolitis due to Clostridium difficile"	"A04.7"	11	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	12	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	11	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	24	7000174	0.3
	"1999"	"1999"	"Virginia"	"51"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	24	7000174	0.3
	"1999"	"1999"	"Virginia"	"51"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	25	7000174	0.4
	"1999"	"1999"	"Virginia"	"51"	"Septicaemia, unspecified"	"A41.9"	994	7000174	14.2
	"1999"	"1999"	"Virginia"	"51"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	11	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Acute hepatitis C"	"B17.1"	45	7000174	0.6
	"1999"	"1999"	"Virginia"	"51"	"HIV disease resulting in other bacterial infections"	"B20.1"	26	7000174	0.4
	"1999"	"1999"	"Virginia"	"51"	"HIV disease resulting in other viral infections"	"B20.3"	10	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	10	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"HIV disease resulting in multiple infections"	"B20.7"	20	7000174	0.3
	"1999"	"1999"	"Virginia"	"51"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	35	7000174	0.5
	"1999"	"1999"	"Virginia"	"51"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	17	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"HIV disease resulting in other specified conditions"	"B23.8"	61	7000174	0.9
	"1999"	"1999"	"Virginia"	"51"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	49	7000174	0.7
	"1999"	"1999"	"Virginia"	"51"	"Viral infection, unspecified"	"B34.9"	11	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Candidal septicaemia"	"B37.7"	10	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Unspecified mycosis"	"B49"	13	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	15	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	24	7000174	0.3
	"1999"	"1999"	"Virginia"	"51"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	25	7000174	0.4
	"1999"	"1999"	"Virginia"	"51"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	16	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	10	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	11	7000174	Unreliable
	"1999"	"1999"	"Virginia"	"51"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	33	7000174	0.5
	"1999"	"1999"	"Virginia"	"51"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	274	7000174	3.9
	"1999"	"1999"	"Virginia"	"51"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	248	7000174	3.5
	"1999"	"1999"	"Virginia"	"51"	"Duodenum - Malignant neoplasms"	"C17.0"	11	7000174	Unreliable
