"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Vermont"	"50"	"Septicaemia, unspecified"	"A41.9"	36	604683	6.0
	"1999"	"1999"	"Vermont"	"50"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	28	604683	4.6
	"1999"	"1999"	"Vermont"	"50"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	17	604683	Unreliable
	"1999"	"1999"	"Vermont"	"50"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	109	604683	18.0
	"1999"	"1999"	"Vermont"	"50"	"Malignant neoplasm of rectum"	"C20"	17	604683	Unreliable
	"1999"	"1999"	"Vermont"	"50"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	10	604683	Unreliable
	"1999"	"1999"	"Vermont"	"50"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	79	604683	13.1
	"1999"	"1999"	"Vermont"	"50"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	10	604683	Unreliable
	"1999"	"1999"	"Vermont"	"50"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	332	604683	54.9
	"1999"	"1999"	"Vermont"	"50"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	17	604683	Unreliable
	"1999"	"1999"	"Vermont"	"50"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	91	604683	15.0
	"1999"	"1999"	"Vermont"	"50"	"Malignant neoplasm of ovary"	"C56"	24	604683	4.0
	"1999"	"1999"	"Vermont"	"50"	"Malignant neoplasm of prostate"	"C61"	79	604683	13.1
	"1999"	"1999"	"Vermont"	"50"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	24	604683	4.0
	"1999"	"1999"	"Vermont"	"50"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	32	604683	5.3
	"1999"	"1999"	"Vermont"	"50"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	21	604683	3.5
	"1999"	"1999"	"Vermont"	"50"	"Malignant neoplasm without specification of site"	"C80"	68	604683	11.2
	"1999"	"1999"	"Vermont"	"50"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	54	604683	8.9
	"1999"	"1999"	"Vermont"	"50"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	24	604683	4.0
	"1999"	"1999"	"Vermont"	"50"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	13	604683	Unreliable
	"1999"	"1999"	"Vermont"	"50"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	17	604683	Unreliable
	"1999"	"1999"	"Vermont"	"50"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	11	604683	Unreliable
