"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Wisconsin"	"55"	"Enterocolitis due to Clostridium difficile"	"A04.7"	13	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	20	5332666	0.4
	"1999"	"1999"	"Wisconsin"	"55"	"Septicaemia, unspecified"	"A41.9"	328	5332666	6.2
	"1999"	"1999"	"Wisconsin"	"55"	"Acute hepatitis C"	"B17.1"	16	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	10	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	12	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Viral infection, unspecified"	"B34.9"	16	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	17	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	27	5332666	0.5
	"1999"	"1999"	"Wisconsin"	"55"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	23	5332666	0.4
	"1999"	"1999"	"Wisconsin"	"55"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	11	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	13	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	14	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	19	5332666	Unreliable
	"1999"	"1999"	"Wisconsin"	"55"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	263	5332666	4.9
	"1999"	"1999"	"Wisconsin"	"55"	"Cardia - Malignant neoplasms"	"C16.0"	23	5332666	0.4
	"1999"	"1999"	"Wisconsin"	"55"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	181	5332666	3.4
