"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"West Virginia"	"54"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	11	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Septicaemia, unspecified"	"A41.9"	251	1811799	13.9
	"1999"	"1999"	"West Virginia"	"54"	"Acute hepatitis C"	"B17.1"	13	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	10	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	97	1811799	5.4
	"1999"	"1999"	"West Virginia"	"54"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	78	1811799	4.3
	"1999"	"1999"	"West Virginia"	"54"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	433	1811799	23.9
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm of rectosigmoid junction"	"C19"	17	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm of rectum"	"C20"	57	1811799	3.1
	"1999"	"1999"	"West Virginia"	"54"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	28	1811799	1.5
	"1999"	"1999"	"West Virginia"	"54"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	35	1811799	1.9
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm of gallbladder"	"C23"	12	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	177	1811799	9.8
	"1999"	"1999"	"West Virginia"	"54"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	10	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	37	1811799	2.0
	"1999"	"1999"	"West Virginia"	"54"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1561	1811799	86.2
	"1999"	"1999"	"West Virginia"	"54"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	65	1811799	3.6
	"1999"	"1999"	"West Virginia"	"54"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	19	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	15	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	291	1811799	16.1
	"1999"	"1999"	"West Virginia"	"54"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	39	1811799	2.2
	"1999"	"1999"	"West Virginia"	"54"	"Endometrium - Malignant neoplasms"	"C54.1"	37	1811799	2.0
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm of uterus, part unspecified"	"C55"	24	1811799	1.3
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm of ovary"	"C56"	104	1811799	5.7
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm of prostate"	"C61"	241	1811799	13.3
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	91	1811799	5.0
	"1999"	"1999"	"West Virginia"	"54"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	98	1811799	5.4
	"1999"	"1999"	"West Virginia"	"54"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	82	1811799	4.5
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm of thyroid gland"	"C73"	13	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Head, face and neck - Malignant neoplasms"	"C76.0"	13	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	25	1811799	1.4
	"1999"	"1999"	"West Virginia"	"54"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	10	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	10	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Malignant neoplasm without specification of site"	"C80"	285	1811799	15.7
	"1999"	"1999"	"West Virginia"	"54"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	12	1811799	Unreliable
	"1999"	"1999"	"West Virginia"	"54"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	144	1811799	7.9
