"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Wyoming"	"56"	"Septicaemia, unspecified"	"A41.9"	30	491780	6.1
	"1999"	"1999"	"Wyoming"	"56"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	24	491780	4.9
	"1999"	"1999"	"Wyoming"	"56"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	10	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	74	491780	15.0
	"1999"	"1999"	"Wyoming"	"56"	"Malignant neoplasm of rectum"	"C20"	12	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	55	491780	11.2
	"1999"	"1999"	"Wyoming"	"56"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	239	491780	48.6
	"1999"	"1999"	"Wyoming"	"56"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	15	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	60	491780	12.2
	"1999"	"1999"	"Wyoming"	"56"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	13	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Malignant neoplasm of ovary"	"C56"	16	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Malignant neoplasm of prostate"	"C61"	57	491780	11.6
	"1999"	"1999"	"Wyoming"	"56"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	19	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	24	491780	4.9
	"1999"	"1999"	"Wyoming"	"56"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	23	491780	4.7
	"1999"	"1999"	"Wyoming"	"56"	"Malignant neoplasm without specification of site"	"C80"	51	491780	10.4
	"1999"	"1999"	"Wyoming"	"56"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	14	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	14	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	19	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	23	491780	4.7
	"1999"	"1999"	"Wyoming"	"56"	"Unspecified diabetes mellitus, without complications"	"E14.9"	67	491780	13.6
	"1999"	"1999"	"Wyoming"	"56"	"Unspecified dementia"	"F03"	49	491780	10.0
	"1999"	"1999"	"Wyoming"	"56"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	13	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Motor neuron disease"	"G12.2"	16	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Parkinson disease"	"G20"	24	491780	4.9
	"1999"	"1999"	"Wyoming"	"56"	"Alzheimer disease, unspecified"	"G30.9"	95	491780	19.3
	"1999"	"1999"	"Wyoming"	"56"	"Multiple sclerosis"	"G35"	10	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Essential (primary) hypertension"	"I10"	15	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	15	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Acute myocardial infarction, unspecified"	"I21.9"	266	491780	54.1
	"1999"	"1999"	"Wyoming"	"56"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	70	491780	14.2
	"1999"	"1999"	"Wyoming"	"56"	"Atherosclerotic heart disease"	"I25.1"	319	491780	64.9
	"1999"	"1999"	"Wyoming"	"56"	"Ischaemic cardiomyopathy"	"I25.5"	13	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	23	491780	4.7
	"1999"	"1999"	"Wyoming"	"56"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	24	491780	4.9
	"1999"	"1999"	"Wyoming"	"56"	"Aortic (valve) stenosis"	"I35.0"	16	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Endocarditis, valve unspecified"	"I38"	13	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Cardiomyopathy, unspecified"	"I42.9"	20	491780	4.1
	"1999"	"1999"	"Wyoming"	"56"	"Cardiac arrest, unspecified"	"I46.9"	16	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Atrial fibrillation and flutter"	"I48"	15	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Cardiac arrhythmia, unspecified"	"I49.9"	12	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Congestive heart failure"	"I50.0"	104	491780	21.1
	"1999"	"1999"	"Wyoming"	"56"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	18	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Intracerebral haemorrhage, unspecified"	"I61.9"	27	491780	5.5
	"1999"	"1999"	"Wyoming"	"56"	"Cerebral infarction, unspecified"	"I63.9"	10	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Stroke, not specified as haemorrhage or infarction"	"I64"	152	491780	30.9
	"1999"	"1999"	"Wyoming"	"56"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	12	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	20	491780	4.1
	"1999"	"1999"	"Wyoming"	"56"	"Generalized and unspecified atherosclerosis"	"I70.9"	18	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	12	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Peripheral vascular disease, unspecified"	"I73.9"	15	491780	Unreliable
	"1999"	"1999"	"Wyoming"	"56"	"Pneumonia, unspecified"	"J18.9"	108	491780	22.0
