STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,AGI_STUB,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
01,AL,000,Alabama,0,2100274.0000,785681.0000,1273772.0000,4389348.0000,1388578.0000,97604671.000,1733560.0000,72276379.000,648344.0000,1508016.0000,280440.0000,1438543.0000,246271.0000,1103934.0000,340738.0000,2882806.0000,49990.0000,209185.0000,2125463.0000,155998.0000,2239541.0000,401412.0000,8250377.0000,177478.0000,956278.0000,239712.0000,2662189.0000,7094.0000,130896.0000,597252.0000,12580721.000,472832.0000,2009415.0000,104431.0000,139590.0000,502832.0000,646669.0000,594024.0000,2954116.0000,470141.0000,4048346.0000,515552.0000,2830060.0000,1486268.0000,63024651.000,697410.0000,870595.0000,363507.0000,415146.0000,99047.0000,51585.0000,112497.0000,95026.0000,548773.0000,1379125.0000,500205.0000,1233638.0000,403905.0000,529032.0000,24706.0000,127111.0000,1253809.0000,10336547.000,1403055.0000,10948191.000,307476.0000,1190657.0000,1724696.0000,5602752.0000
01,AL,001,Autauga County,0,24821.0000,10183.0000,11995.0000,52230.0000,17506.0000,1141741.0000,21177.0000,898499.0000,7893.0000,10302.0000,3179.0000,6121.0000,2739.0000,4010.0000,3414.0000,25106.0000,419.0000,2176.0000,12678.0000,1624.0000,17829.0000,4932.0000,112072.0000,1641.0000,8967.0000,2823.0000,30999.0000,39.0000,594.0000,7237.0000,139264.0000,5747.0000,19954.0000,1242.0000,2461.0000,6212.0000,4726.0000,7208.0000,28713.0000,6091.0000,52925.0000,6103.0000,28805.0000,18789.0000,718586.0000,9123.0000,11827.0000,5120.0000,6709.0000,1382.0000,772.0000,1163.0000,953.0000,5597.0000,13789.0000,5130.0000,12497.0000,3980.0000,5075.0000,129.0000,486.0000,16201.0000,103549.0000,17539.0000,109480.0000,3594.0000,13210.0000,20634.0000,61798.0000
01,AL,003,Baldwin County,0,85312.0000,37613.0000,47626.0000,175253.0000,52276.0000,4331432.0000,67180.0000,2944594.0000,30721.0000,76050.0000,16407.0000,85725.0000,14407.0000,61562.0000,15786.0000,168253.0000,1196.0000,13113.0000,107779.0000,9520.0000,155146.0000,19457.0000,440869.0000,6565.0000,38951.0000,13675.0000,160280.0000,403.0000,6531.0000,27586.0000,611052.0000,19960.0000,83744.0000,6595.0000,8687.0000,23246.0000,30650.0000,27422.0000,128949.0000,21775.0000,218889.0000,22828.0000,103703.0000,63304.0000,2909193.0000,27176.0000,35888.0000,14516.0000,17776.0000,3900.0000,1960.0000,3910.0000,3440.0000,16531.0000,37710.0000,14536.0000,32902.0000,12531.0000,15948.0000,1319.0000,6542.0000,55683.0000,482358.0000,61483.0000,517828.0000,18120.0000,82619.0000,63313.0000,186866.0000
01,AL,005,Barbour County,0,10873.0000,3367.0000,7821.0000,22943.0000,7228.0000,368337.0000,9024.0000,281232.0000,2853.0000,6459.0000,1184.0000,4808.0000,1087.0000,3810.0000,1546.0000,6718.0000,469.0000,890.0000,15870.0000,667.0000,8912.0000,1795.0000,34269.0000,946.0000,4599.0000,1199.0000,12728.0000,21.0000,345.0000,2149.0000,42163.0000,1587.0000,5600.0000,473.0000,1559.0000,1748.0000,1755.0000,2130.0000,9862.0000,1522.0000,11659.0000,1896.0000,9528.0000,6909.0000,210867.0000,3208.0000,3108.0000,1859.0000,1764.0000,372.0000,186.0000,377.0000,316.0000,3966.0000,10186.0000,3682.0000,9389.0000,2813.0000,3543.0000,43.0000,155.0000,5455.0000,29634.0000,6199.0000,31857.0000,1175.0000,3508.0000,9366.0000,29558.0000
01,AL,007,Bibb County,0,8639.0000,3517.0000,5068.0000,18539.0000,5921.0000,326695.0000,6801.0000,256627.0000,2115.0000,3496.0000,619.0000,1376.0000,507.0000,781.0000,1268.0000,8843.0000,203.0000,494.0000,6719.0000,476.0000,6161.0000,1417.0000,23387.0000,892.0000,4003.0000,897.0000,8880.0000,0.0000,0.0000,1774.0000,32550.0000,1467.0000,4874.0000,253.0000,302.0000,1447.0000,825.0000,1763.0000,6383.0000,1399.0000,9636.0000,1507.0000,6988.0000,5659.0000,193657.0000,2642.0000,3188.0000,1710.0000,2083.0000,344.0000,157.0000,357.0000,303.0000,2416.0000,5997.0000,2172.0000,5337.0000,1676.0000,2066.0000,35.0000,142.0000,4788.0000,26954.0000,5387.0000,28910.0000,959.0000,3154.0000,7289.0000,22279.0000
01,AL,009,Blount County,0,22197.0000,11692.0000,15452.0000,50847.0000,16358.0000,945582.0000,18476.0000,732593.0000,7120.0000,14301.0000,2161.0000,8437.0000,1843.0000,6903.0000,3811.0000,28428.0000,1241.0000,1631.0000,17120.0000,1753.0000,20990.0000,4237.0000,73904.0000,2281.0000,12170.0000,2729.0000,27971.0000,35.0000,431.0000,5918.0000,109203.0000,4829.0000,17442.0000,950.0000,1031.0000,5099.0000,4162.0000,5889.0000,23973.0000,4829.0000,38144.0000,4952.0000,20114.0000,15979.0000,569408.0000,7705.0000,9496.0000,4839.0000,6037.0000,866.0000,421.0000,1234.0000,1004.0000,5209.0000,11924.0000,4602.0000,10192.0000,4184.0000,5691.0000,104.0000,451.0000,13650.0000,79143.0000,15537.0000,85557.0000,3066.0000,8375.0000,18411.0000,54047.0000
01,AL,011,Bullock County,0,3807.0000,704.0000,2647.0000,8254.0000,2943.0000,115687.0000,3309.0000,89251.0000,677.0000,1581.0000,267.0000,1041.0000,239.0000,783.0000,508.0000,3845.0000,202.0000,222.0000,1577.0000,149.0000,2111.0000,500.0000,10087.0000,364.0000,1861.0000,296.0000,2841.0000,0.0000,0.0000,626.0000,11247.0000,469.0000,1388.0000,130.0000,147.0000,450.0000,396.0000,624.0000,2081.0000,386.0000,2402.0000,551.0000,3001.0000,2425.0000,59387.0000,1224.0000,1220.0000,686.0000,578.0000,159.0000,100.0000,138.0000,115.0000,1615.0000,4501.0000,1514.0000,4214.0000,1297.0000,1623.0000,20.0000,73.0000,1762.0000,8277.0000,2009.0000,9129.0000,415.0000,1498.0000,3302.0000,11548.0000
01,AL,013,Butler County,0,9080.0000,2730.0000,6207.0000,18387.0000,6019.0000,310793.0000,7426.0000,225988.0000,1956.0000,4360.0000,705.0000,3024.0000,610.0000,2088.0000,1368.0000,11046.0000,456.0000,591.0000,5000.0000,533.0000,6237.0000,1530.0000,25085.0000,1126.0000,5140.0000,894.0000,8613.0000,0.0000,0.0000,1420.0000,27507.0000,1052.0000,4519.0000,318.0000,343.0000,1105.0000,1000.0000,1411.0000,6107.0000,986.0000,6873.0000,1147.0000,6684.0000,5804.0000,178408.0000,2764.0000,2996.0000,1583.0000,1607.0000,378.0000,164.0000,323.0000,276.0000,3374.0000,9037.0000,3129.0000,8383.0000,2206.0000,2523.0000,51.0000,247.0000,4631.0000,27206.0000,5231.0000,29383.0000,1079.0000,2920.0000,7633.0000,25918.0000
01,AL,015,Calhoun County,0,49014.0000,20316.0000,31421.0000,103965.0000,32438.0000,2050807.0000,40389.0000,1539957.0000,18073.0000,26411.0000,5962.0000,18746.0000,5187.0000,12817.0000,6807.0000,61482.0000,803.0000,4035.0000,14606.0000,3549.0000,39234.0000,11466.0000,235832.0000,4607.0000,24068.0000,6357.0000,62306.0000,101.0000,1970.0000,12176.0000,229434.0000,9496.0000,31869.0000,2311.0000,2676.0000,10064.0000,9092.0000,12128.0000,46667.0000,9513.0000,69282.0000,10660.0000,56577.0000,35396.0000,1238535.0000,16332.0000,18110.0000,8876.0000,10464.0000,2117.0000,1007.0000,3029.0000,2351.0000,12668.0000,29445.0000,11455.0000,26390.0000,9115.0000,11613.0000,292.0000,1106.0000,30415.0000,180406.0000,33398.0000,192252.0000,6511.0000,19045.0000,41135.0000,122486.0000
01,AL,017,Chambers County,0,15039.0000,4362.0000,11223.0000,32463.0000,10404.0000,488522.0000,12811.0000,390049.0000,3357.0000,5930.0000,1319.0000,4398.0000,1157.0000,3208.0000,2678.0000,6102.0000,296.0000,940.0000,4618.0000,911.0000,10259.0000,2634.0000,36672.0000,1879.0000,10573.0000,1379.0000,13444.0000,0.0000,0.0000,3042.0000,52698.0000,2403.0000,7309.0000,539.0000,620.0000,2390.0000,2026.0000,3025.0000,10752.0000,2250.0000,14580.0000,2618.0000,12843.0000,10025.0000,254003.0000,5391.0000,5378.0000,2524.0000,2285.0000,836.0000,502.0000,1091.0000,901.0000,5658.0000,14419.0000,5261.0000,13346.0000,3881.0000,5008.0000,57.0000,266.0000,7376.0000,32680.0000,8473.0000,35181.0000,1515.0000,3785.0000,13111.0000,42134.0000
