"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Arizona"	"04"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	17	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	15	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Septicaemia, unspecified"	"A41.9"	288	5023823	5.7
	"1999"	"1999"	"Arizona"	"04"	"Acute hepatitis C"	"B17.1"	73	5023823	1.5
	"1999"	"1999"	"Arizona"	"04"	"HIV disease resulting in other mycoses"	"B20.5"	10	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	11	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"HIV disease resulting in multiple infections"	"B20.7"	22	5023823	0.4
	"1999"	"1999"	"Arizona"	"04"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	13	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	10	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"HIV disease resulting in other specified conditions"	"B23.8"	19	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	33	5023823	0.7
	"1999"	"1999"	"Arizona"	"04"	"Pulmonary coccidioidomycosis, unspecified"	"B38.2"	11	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Unspecified mycosis"	"B49"	16	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	13	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	31	5023823	0.6
	"1999"	"1999"	"Arizona"	"04"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	14	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	10	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	11	5023823	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	21	5023823	0.4
	"1999"	"1999"	"Arizona"	"04"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	173	5023823	3.4
	"1999"	"1999"	"Arizona"	"04"	"Cardia - Malignant neoplasms"	"C16.0"	20	5023823	0.4
	"1999"	"1999"	"Arizona"	"04"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	180	5023823	3.6
	"1999"	"1999"	"Arizona"	"04"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	730	5023823	14.5
	"1999"	"1999"	"Arizona"	"04"	"Malignant neoplasm of rectosigmoid junction"	"C19"	22	5023823	0.4
	"1999"	"1999"	"Arizona"	"04"	"Malignant neoplasm of rectum"	"C20"	97	5023823	1.9
	"1999"	"1999"	"Arizona"	"04"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	81	5023823	1.6
	"1999"	"1999"	"Arizona"	"04"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	44	5023823	0.9
