"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Arkansas"	"05"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	10	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	16	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Septicaemia, unspecified"	"A41.9"	428	2651860	16.1
	"1999"	"1999"	"Arkansas"	"05"	"Acute hepatitis C"	"B17.1"	35	2651860	1.3
	"1999"	"1999"	"Arkansas"	"05"	"HIV disease resulting in other specified conditions"	"B23.8"	11	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	25	2651860	0.9
	"1999"	"1999"	"Arkansas"	"05"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	34	2651860	1.3
	"1999"	"1999"	"Arkansas"	"05"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	111	2651860	4.2
	"1999"	"1999"	"Arkansas"	"05"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	120	2651860	4.5
	"1999"	"1999"	"Arkansas"	"05"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	546	2651860	20.6
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of rectosigmoid junction"	"C19"	19	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of rectum"	"C20"	43	2651860	1.6
	"1999"	"1999"	"Arkansas"	"05"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	25	2651860	0.9
	"1999"	"1999"	"Arkansas"	"05"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	15	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	123	2651860	4.6
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of gallbladder"	"C23"	11	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	289	2651860	10.9
	"1999"	"1999"	"Arkansas"	"05"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	19	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	23	2651860	0.9
	"1999"	"1999"	"Arkansas"	"05"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1950	2651860	73.5
	"1999"	"1999"	"Arkansas"	"05"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	22	2651860	0.8
	"1999"	"1999"	"Arkansas"	"05"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	72	2651860	2.7
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	12	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	10	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	24	2651860	0.9
	"1999"	"1999"	"Arkansas"	"05"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	405	2651860	15.3
	"1999"	"1999"	"Arkansas"	"05"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	44	2651860	1.7
	"1999"	"1999"	"Arkansas"	"05"	"Endometrium - Malignant neoplasms"	"C54.1"	22	2651860	0.8
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of uterus, part unspecified"	"C55"	34	2651860	1.3
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of ovary"	"C56"	142	2651860	5.4
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of prostate"	"C61"	378	2651860	14.3
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	108	2651860	4.1
	"1999"	"1999"	"Arkansas"	"05"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	109	2651860	4.1
	"1999"	"1999"	"Arkansas"	"05"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	158	2651860	6.0
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm of thyroid gland"	"C73"	10	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Head, face and neck - Malignant neoplasms"	"C76.0"	24	2651860	0.9
	"1999"	"1999"	"Arkansas"	"05"	"Abdomen - Malignant neoplasms"	"C76.2"	15	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	31	2651860	1.2
	"1999"	"1999"	"Arkansas"	"05"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	12	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasm without specification of site"	"C80"	249	2651860	9.4
	"1999"	"1999"	"Arkansas"	"05"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	232	2651860	8.7
	"1999"	"1999"	"Arkansas"	"05"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	119	2651860	4.5
	"1999"	"1999"	"Arkansas"	"05"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	10	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	45	2651860	1.7
	"1999"	"1999"	"Arkansas"	"05"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	63	2651860	2.4
	"1999"	"1999"	"Arkansas"	"05"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	14	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	29	2651860	1.1
	"1999"	"1999"	"Arkansas"	"05"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	48	2651860	1.8
	"1999"	"1999"	"Arkansas"	"05"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	76	2651860	2.9
	"1999"	"1999"	"Arkansas"	"05"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	33	2651860	1.2
	"1999"	"1999"	"Arkansas"	"05"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	36	2651860	1.4
	"1999"	"1999"	"Arkansas"	"05"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	19	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Aplastic anaemia, unspecified"	"D61.9"	11	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Anaemia, unspecified"	"D64.9"	37	2651860	1.4
	"1999"	"1999"	"Arkansas"	"05"	"Hypothyroidism, unspecified"	"E03.9"	13	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E10.5"	16	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	116	2651860	4.4
