"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Connecticut"	"09"	"Enterocolitis due to Clostridium difficile"	"A04.7"	20	3386401	0.6
	"1999"	"1999"	"Connecticut"	"09"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	10	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Septicaemia, unspecified"	"A41.9"	458	3386401	13.5
	"1999"	"1999"	"Connecticut"	"09"	"Acute hepatitis C"	"B17.1"	19	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"HIV disease resulting in other bacterial infections"	"B20.1"	20	3386401	0.6
	"1999"	"1999"	"Connecticut"	"09"	"HIV disease resulting in other viral infections"	"B20.3"	13	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"HIV disease resulting in multiple infections"	"B20.7"	26	3386401	0.8
	"1999"	"1999"	"Connecticut"	"09"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	21	3386401	0.6
	"1999"	"1999"	"Connecticut"	"09"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	22	3386401	0.6
	"1999"	"1999"	"Connecticut"	"09"	"HIV disease resulting in other specified conditions"	"B23.8"	41	3386401	1.2
	"1999"	"1999"	"Connecticut"	"09"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	28	3386401	0.8
	"1999"	"1999"	"Connecticut"	"09"	"Unspecified mycosis"	"B49"	12	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	14	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	14	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	19	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	154	3386401	4.5
	"1999"	"1999"	"Connecticut"	"09"	"Cardia - Malignant neoplasms"	"C16.0"	12	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	198	3386401	5.8
	"1999"	"1999"	"Connecticut"	"09"	"Ascending colon - Malignant neoplasms"	"C18.2"	13	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	622	3386401	18.4
	"1999"	"1999"	"Connecticut"	"09"	"Malignant neoplasm of rectosigmoid junction"	"C19"	15	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Malignant neoplasm of rectum"	"C20"	102	3386401	3.0
	"1999"	"1999"	"Connecticut"	"09"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	69	3386401	2.0
	"1999"	"1999"	"Connecticut"	"09"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	34	3386401	1.0
	"1999"	"1999"	"Connecticut"	"09"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	34	3386401	1.0
	"1999"	"1999"	"Connecticut"	"09"	"Malignant neoplasm of gallbladder"	"C23"	26	3386401	0.8
	"1999"	"1999"	"Connecticut"	"09"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	417	3386401	12.3
