"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"District of Columbia"	"11"	"Septicaemia, unspecified"	"A41.9"	127	570213	22.3
	"1999"	"1999"	"District of Columbia"	"11"	"Acute hepatitis C"	"B17.1"	10	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"HIV disease resulting in other bacterial infections"	"B20.1"	38	570213	6.7
	"1999"	"1999"	"District of Columbia"	"11"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	11	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"HIV disease resulting in multiple infections"	"B20.7"	26	570213	4.6
	"1999"	"1999"	"District of Columbia"	"11"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	23	570213	4.0
	"1999"	"1999"	"District of Columbia"	"11"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	12	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	16	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	11	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"HIV disease resulting in other specified conditions"	"B23.8"	45	570213	7.9
	"1999"	"1999"	"District of Columbia"	"11"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	42	570213	7.4
	"1999"	"1999"	"District of Columbia"	"11"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	46	570213	8.1
	"1999"	"1999"	"District of Columbia"	"11"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	48	570213	8.4
	"1999"	"1999"	"District of Columbia"	"11"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	115	570213	20.2
	"1999"	"1999"	"District of Columbia"	"11"	"Malignant neoplasm of rectum"	"C20"	16	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	23	570213	4.0
	"1999"	"1999"	"District of Columbia"	"11"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	10	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	74	570213	13.0
	"1999"	"1999"	"District of Columbia"	"11"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	22	570213	3.9
	"1999"	"1999"	"District of Columbia"	"11"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	297	570213	52.1
	"1999"	"1999"	"District of Columbia"	"11"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	118	570213	20.7
	"1999"	"1999"	"District of Columbia"	"11"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	18	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Malignant neoplasm of uterus, part unspecified"	"C55"	15	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Malignant neoplasm of ovary"	"C56"	32	570213	5.6
	"1999"	"1999"	"District of Columbia"	"11"	"Malignant neoplasm of prostate"	"C61"	113	570213	19.8
	"1999"	"1999"	"District of Columbia"	"11"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	13	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	23	570213	4.0
	"1999"	"1999"	"District of Columbia"	"11"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	13	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Head, face and neck - Malignant neoplasms"	"C76.0"	15	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Malignant neoplasm without specification of site"	"C80"	76	570213	13.3
	"1999"	"1999"	"District of Columbia"	"11"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	31	570213	5.4
	"1999"	"1999"	"District of Columbia"	"11"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	34	570213	6.0
	"1999"	"1999"	"District of Columbia"	"11"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	10	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	14	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Sarcoidosis, unspecified"	"D86.9"	10	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	18	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	17	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	23	570213	4.0
	"1999"	"1999"	"District of Columbia"	"11"	"Unspecified diabetes mellitus, without complications"	"E14.9"	140	570213	24.6
	"1999"	"1999"	"District of Columbia"	"11"	"Unspecified dementia"	"F03"	50	570213	8.8
	"1999"	"1999"	"District of Columbia"	"11"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	40	570213	7.0
	"1999"	"1999"	"District of Columbia"	"11"	"Parkinson disease"	"G20"	21	570213	3.7
	"1999"	"1999"	"District of Columbia"	"11"	"Alzheimer disease, unspecified"	"G30.9"	51	570213	8.9
	"1999"	"1999"	"District of Columbia"	"11"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	17	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Essential (primary) hypertension"	"I10"	21	570213	3.7
	"1999"	"1999"	"District of Columbia"	"11"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	38	570213	6.7
	"1999"	"1999"	"District of Columbia"	"11"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	249	570213	43.7
	"1999"	"1999"	"District of Columbia"	"11"	"Hypertensive renal disease with renal failure"	"I12.0"	33	570213	5.8
	"1999"	"1999"	"District of Columbia"	"11"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	17	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Acute myocardial infarction, unspecified"	"I21.9"	274	570213	48.1
	"1999"	"1999"	"District of Columbia"	"11"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	434	570213	76.1
	"1999"	"1999"	"District of Columbia"	"11"	"Atherosclerotic heart disease"	"I25.1"	331	570213	58.0
	"1999"	"1999"	"District of Columbia"	"11"	"Ischaemic cardiomyopathy"	"I25.5"	15	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	31	570213	5.4
	"1999"	"1999"	"District of Columbia"	"11"	"Primary pulmonary hypertension"	"I27.0"	12	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Aortic (valve) stenosis"	"I35.0"	15	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Dilated cardiomyopathy"	"I42.0"	21	570213	3.7
	"1999"	"1999"	"District of Columbia"	"11"	"Cardiomyopathy, unspecified"	"I42.9"	23	570213	4.0
	"1999"	"1999"	"District of Columbia"	"11"	"Cardiac arrest, unspecified"	"I46.9"	26	570213	4.6
	"1999"	"1999"	"District of Columbia"	"11"	"Atrial fibrillation and flutter"	"I48"	13	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Cardiac arrhythmia, unspecified"	"I49.9"	18	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Congestive heart failure"	"I50.0"	68	570213	11.9
	"1999"	"1999"	"District of Columbia"	"11"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	10	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Intracerebral haemorrhage, unspecified"	"I61.9"	37	570213	6.5
	"1999"	"1999"	"District of Columbia"	"11"	"Cerebral infarction, unspecified"	"I63.9"	28	570213	4.9
	"1999"	"1999"	"District of Columbia"	"11"	"Stroke, not specified as haemorrhage or infarction"	"I64"	145	570213	25.4
	"1999"	"1999"	"District of Columbia"	"11"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	11	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Generalized and unspecified atherosclerosis"	"I70.9"	25	570213	4.4
	"1999"	"1999"	"District of Columbia"	"11"	"Dissection of aorta [any part]"	"I71.0"	10	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Peripheral vascular disease, unspecified"	"I73.9"	19	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Pneumonia, unspecified"	"J18.9"	93	570213	16.3
	"1999"	"1999"	"District of Columbia"	"11"	"Emphysema, unspecified"	"J43.9"	16	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	18	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	113	570213	19.8
	"1999"	"1999"	"District of Columbia"	"11"	"Asthma, unspecified"	"J45.9"	12	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Pneumonitis due to food and vomit"	"J69.0"	39	570213	6.8
	"1999"	"1999"	"District of Columbia"	"11"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	14	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Acute vascular disorders of intestine"	"K55.0"	15	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Vascular disorder of intestine, unspecified"	"K55.9"	10	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Alcoholic cirrhosis of liver"	"K70.3"	14	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Hepatic failure, unspecified"	"K72.9"	17	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Other and unspecified cirrhosis of liver"	"K74.6"	24	570213	4.2
	"1999"	"1999"	"District of Columbia"	"11"	"Gastrointestinal haemorrhage, unspecified"	"K92.2"	21	570213	3.7
	"1999"	"1999"	"District of Columbia"	"11"	"Decubitus ulcer"	"L89"	20	570213	3.5
	"1999"	"1999"	"District of Columbia"	"11"	"End-stage renal disease"	"N18.0"	29	570213	5.1
	"1999"	"1999"	"District of Columbia"	"11"	"Chronic renal failure, unspecified"	"N18.9"	20	570213	3.5
	"1999"	"1999"	"District of Columbia"	"11"	"Unspecified renal failure"	"N19"	33	570213	5.8
	"1999"	"1999"	"District of Columbia"	"11"	"Urinary tract infection, site not specified"	"N39.0"	34	570213	6.0
	"1999"	"1999"	"District of Columbia"	"11"	"Newborn affected by chorioamnionitis"	"P02.7"	19	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Other ill-defined and unspecified causes of mortality"	"R99"	322	570213	56.5
	"1999"	"1999"	"District of Columbia"	"11"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	11	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	40	570213	7.0
	"1999"	"1999"	"District of Columbia"	"11"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	10	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Assault by other and unspecified firearm discharge"	"X95"	140	570213	24.6
	"1999"	"1999"	"District of Columbia"	"11"	"Assault by sharp object"	"X99"	23	570213	4.0
	"2000"	"2000"	"District of Columbia"	"11"	"Septicaemia, unspecified"	"A41.9"	110	572059	19.2
	"2000"	"2000"	"District of Columbia"	"11"	"Acute hepatitis C"	"B17.1"	21	572059	3.7
	"2000"	"2000"	"District of Columbia"	"11"	"HIV disease resulting in other bacterial infections"	"B20.1"	27	572059	4.7
	"2000"	"2000"	"District of Columbia"	"11"	"HIV disease resulting in other viral infections"	"B20.3"	11	572059	Unreliable
	"2000"	"2000"	"District of Columbia"	"11"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	10	572059	Unreliable
	"2000"	"2000"	"District of Columbia"	"11"	"HIV disease resulting in multiple infections"	"B20.7"	25	572059	4.4
	"2000"	"2000"	"District of Columbia"	"11"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	30	572059	5.2
	"2000"	"2000"	"District of Columbia"	"11"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	21	572059	3.7
	"2000"	"2000"	"District of Columbia"	"11"	"HIV disease resulting in other specified conditions"	"B23.8"	35	572059	6.1
	"2000"	"2000"	"District of Columbia"	"11"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	51	572059	8.9
	"2000"	"2000"	"District of Columbia"	"11"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	40	572059	7.0
	"2000"	"2000"	"District of Columbia"	"11"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	41	572059	7.2
	"2000"	"2000"	"District of Columbia"	"11"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	140	572059	24.5
	"2000"	"2000"	"District of Columbia"	"11"	"Malignant neoplasm of rectum"	"C20"	12	572059	Unreliable
	"2000"	"2000"	"District of Columbia"	"11"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	17	572059	Unreliable
	"2000"	"2000"	"District of Columbia"	"11"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	11	572059	Unreliable
	"2000"	"2000"	"District of Columbia"	"11"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	64	572059	11.2
	"2000"	"2000"	"District of Columbia"	"11"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	19	572059	Unreliable
	"2000"	"2000"	"District of Columbia"	"11"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	318	572059	55.6
	"2000"	"2000"	"District of Columbia"	"11"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	10	572059	Unreliable
	"2000"	"2000"	"District of Columbia"	"11"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	96	572059	16.8
	"2000"	"2000"	"District of Columbia"	"11"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	14	572059	Unreliable
