"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Delaware"	"10"	"Septicaemia, unspecified"	"A41.9"	98	774990	12.6
	"1999"	"1999"	"Delaware"	"10"	"HIV disease resulting in other specified conditions"	"B23.8"	11	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	14	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	30	774990	3.9
	"1999"	"1999"	"Delaware"	"10"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	35	774990	4.5
	"1999"	"1999"	"Delaware"	"10"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	134	774990	17.3
	"1999"	"1999"	"Delaware"	"10"	"Malignant neoplasm of rectum"	"C20"	30	774990	3.9
	"1999"	"1999"	"Delaware"	"10"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	12	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	12	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	90	774990	11.6
	"1999"	"1999"	"Delaware"	"10"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	15	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	536	774990	69.2
	"1999"	"1999"	"Delaware"	"10"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	25	774990	3.2
	"1999"	"1999"	"Delaware"	"10"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	121	774990	15.6
	"1999"	"1999"	"Delaware"	"10"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	21	774990	2.7
	"1999"	"1999"	"Delaware"	"10"	"Endometrium - Malignant neoplasms"	"C54.1"	11	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Malignant neoplasm of uterus, part unspecified"	"C55"	13	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Malignant neoplasm of ovary"	"C56"	44	774990	5.7
	"1999"	"1999"	"Delaware"	"10"	"Malignant neoplasm of prostate"	"C61"	93	774990	12.0
	"1999"	"1999"	"Delaware"	"10"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	35	774990	4.5
	"1999"	"1999"	"Delaware"	"10"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	42	774990	5.4
	"1999"	"1999"	"Delaware"	"10"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	34	774990	4.4
	"1999"	"1999"	"Delaware"	"10"	"Head, face and neck - Malignant neoplasms"	"C76.0"	12	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Malignant neoplasm without specification of site"	"C80"	89	774990	11.5
	"1999"	"1999"	"Delaware"	"10"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	30	774990	3.9
