"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Florida"	"12"	"Enterocolitis due to Clostridium difficile"	"A04.7"	40	15759421	0.3
	"1999"	"1999"	"Florida"	"12"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	37	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	21	15759421	0.1
	"1999"	"1999"	"Florida"	"12"	"Pulmonary mycobacterial infection"	"A31.0"	20	15759421	0.1
	"1999"	"1999"	"Florida"	"12"	"Septicaemia due to streptococcus, group D"	"A40.2"	19	15759421	Unreliable
	"1999"	"1999"	"Florida"	"12"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	15	15759421	Unreliable
	"1999"	"1999"	"Florida"	"12"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	38	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	46	15759421	0.3
	"1999"	"1999"	"Florida"	"12"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	53	15759421	0.3
	"1999"	"1999"	"Florida"	"12"	"Septicaemia, unspecified"	"A41.9"	1295	15759421	8.2
	"1999"	"1999"	"Florida"	"12"	"Staphylococcal infection, unspecified"	"A49.0"	11	15759421	Unreliable
	"1999"	"1999"	"Florida"	"12"	"Bacterial infection, unspecified"	"A49.9"	32	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	14	15759421	Unreliable
	"1999"	"1999"	"Florida"	"12"	"Hepatitis A without hepatic coma"	"B15.9"	13	15759421	Unreliable
	"1999"	"1999"	"Florida"	"12"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	47	15759421	0.3
	"1999"	"1999"	"Florida"	"12"	"Acute hepatitis C"	"B17.1"	253	15759421	1.6
	"1999"	"1999"	"Florida"	"12"	"Chronic viral hepatitis C"	"B18.2"	70	15759421	0.4
	"1999"	"1999"	"Florida"	"12"	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	16	15759421	Unreliable
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in mycobacterial infection"	"B20.0"	26	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in other bacterial infections"	"B20.1"	109	15759421	0.7
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in cytomegaloviral disease"	"B20.2"	14	15759421	Unreliable
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in other viral infections"	"B20.3"	54	15759421	0.3
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in other mycoses"	"B20.5"	29	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	69	15759421	0.4
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in multiple infections"	"B20.7"	109	15759421	0.7
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	179	15759421	1.1
	"1999"	"1999"	"Florida"	"12"	"HIV disease with Kaposi sarcoma"	"B21.0"	13	15759421	Unreliable
	"1999"	"1999"	"Florida"	"12"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	50	15759421	0.3
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in other malignant neoplasms"	"B21.8"	35	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in encephalopathy"	"B22.0"	27	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in wasting syndrome"	"B22.2"	34	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	95	15759421	0.6
