"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Georgia"	"13"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	20	8045965	0.2
	"1999"	"1999"	"Georgia"	"13"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	11	8045965	Unreliable
	"1999"	"1999"	"Georgia"	"13"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	11	8045965	Unreliable
	"1999"	"1999"	"Georgia"	"13"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	17	8045965	Unreliable
	"1999"	"1999"	"Georgia"	"13"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	26	8045965	0.3
	"1999"	"1999"	"Georgia"	"13"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	21	8045965	0.3
	"1999"	"1999"	"Georgia"	"13"	"Septicaemia, unspecified"	"A41.9"	1046	8045965	13.0
	"1999"	"1999"	"Georgia"	"13"	"Bacterial infection, unspecified"	"A49.9"	23	8045965	0.3
	"1999"	"1999"	"Georgia"	"13"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	17	8045965	Unreliable
	"1999"	"1999"	"Georgia"	"13"	"Acute hepatitis C"	"B17.1"	73	8045965	0.9
	"1999"	"1999"	"Georgia"	"13"	"HIV disease resulting in mycobacterial infection"	"B20.0"	12	8045965	Unreliable
	"1999"	"1999"	"Georgia"	"13"	"HIV disease resulting in other bacterial infections"	"B20.1"	68	8045965	0.8
	"1999"	"1999"	"Georgia"	"13"	"HIV disease resulting in other viral infections"	"B20.3"	23	8045965	0.3
	"1999"	"1999"	"Georgia"	"13"	"HIV disease resulting in other mycoses"	"B20.5"	17	8045965	Unreliable
	"1999"	"1999"	"Georgia"	"13"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	32	8045965	0.4
