"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Illinois"	"17"	"Enterocolitis due to Clostridium difficile"	"A04.7"	31	12359020	0.3
	"1999"	"1999"	"Illinois"	"17"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	19	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	12	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Septicaemia due to streptococcus, group D"	"A40.2"	11	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	11	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	29	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	27	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	58	12359020	0.5
	"1999"	"1999"	"Illinois"	"17"	"Other specified septicaemia"	"A41.8"	12	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Septicaemia, unspecified"	"A41.9"	1662	12359020	13.4
	"1999"	"1999"	"Illinois"	"17"	"Staphylococcal infection, unspecified"	"A49.0"	14	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Bacterial infection, unspecified"	"A49.9"	15	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	15	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Acute hepatitis C"	"B17.1"	90	12359020	0.7
	"1999"	"1999"	"Illinois"	"17"	"Chronic viral hepatitis C"	"B18.2"	15	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"HIV disease resulting in other bacterial infections"	"B20.1"	63	12359020	0.5
	"1999"	"1999"	"Illinois"	"17"	"HIV disease resulting in other viral infections"	"B20.3"	24	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	20	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"HIV disease resulting in multiple infections"	"B20.7"	51	12359020	0.4
	"1999"	"1999"	"Illinois"	"17"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	66	12359020	0.5
	"1999"	"1999"	"Illinois"	"17"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	11	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	43	12359020	0.3
	"1999"	"1999"	"Illinois"	"17"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	12	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"HIV disease resulting in other specified conditions"	"B23.8"	90	12359020	0.7
	"1999"	"1999"	"Illinois"	"17"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	116	12359020	0.9
	"1999"	"1999"	"Illinois"	"17"	"Viral infection, unspecified"	"B34.9"	23	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"Candidal septicaemia"	"B37.7"	13	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Unspecified mycosis"	"B49"	39	12359020	0.3
	"1999"	"1999"	"Illinois"	"17"	"Pneumocystosis"	"B59"	10	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Sequelae of viral hepatitis"	"B94.2"	14	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	44	12359020	0.4
	"1999"	"1999"	"Illinois"	"17"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	71	12359020	0.6
	"1999"	"1999"	"Illinois"	"17"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	32	12359020	0.3
	"1999"	"1999"	"Illinois"	"17"	"Malignant neoplasm of parotid gland"	"C07"	17	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	30	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	23	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	21	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"Hypopharynx, unspecified - Malignant neoplasms"	"C13.9"	11	12359020	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	56	12359020	0.5
	"1999"	"1999"	"Illinois"	"17"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	512	12359020	4.1
	"1999"	"1999"	"Illinois"	"17"	"Cardia - Malignant neoplasms"	"C16.0"	51	12359020	0.4
	"1999"	"1999"	"Illinois"	"17"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	548	12359020	4.4
