"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Indiana"	"18"	"Enterocolitis due to Clostridium difficile"	"A04.7"	15	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	12	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	11	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	13	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	14	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Septicaemia, unspecified"	"A41.9"	734	6044969	12.1
	"1999"	"1999"	"Indiana"	"18"	"Staphylococcal infection, unspecified"	"A49.0"	15	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Bacterial infection, unspecified"	"A49.9"	25	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	13	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Acute hepatitis C"	"B17.1"	46	6044969	0.8
	"1999"	"1999"	"Indiana"	"18"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	12	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"HIV disease resulting in wasting syndrome"	"B22.2"	13	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"HIV disease resulting in other specified conditions"	"B23.8"	17	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	15	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Unspecified mycosis"	"B49"	13	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	22	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	27	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	16	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of parotid gland"	"C07"	11	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	17	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	30	6044969	0.5
	"1999"	"1999"	"Indiana"	"18"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	288	6044969	4.8
	"1999"	"1999"	"Indiana"	"18"	"Cardia - Malignant neoplasms"	"C16.0"	18	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	180	6044969	3.0
	"1999"	"1999"	"Indiana"	"18"	"Duodenum - Malignant neoplasms"	"C17.0"	11	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	12	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	1137	6044969	18.8
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of rectosigmoid junction"	"C19"	50	6044969	0.8
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of rectum"	"C20"	159	6044969	2.6
	"1999"	"1999"	"Indiana"	"18"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	14	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	94	6044969	1.6
	"1999"	"1999"	"Indiana"	"18"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	56	6044969	0.9
	"1999"	"1999"	"Indiana"	"18"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	98	6044969	1.6
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of gallbladder"	"C23"	53	6044969	0.9
	"1999"	"1999"	"Indiana"	"18"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	19	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	14	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	604	6044969	10.0
	"1999"	"1999"	"Indiana"	"18"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	14	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	26	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	75	6044969	1.2
	"1999"	"1999"	"Indiana"	"18"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	3888	6044969	64.3
	"1999"	"1999"	"Indiana"	"18"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	18	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	178	6044969	2.9
	"1999"	"1999"	"Indiana"	"18"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	27	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	23	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	45	6044969	0.7
	"1999"	"1999"	"Indiana"	"18"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	67	6044969	1.1
	"1999"	"1999"	"Indiana"	"18"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	914	6044969	15.1
	"1999"	"1999"	"Indiana"	"18"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	22	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of vagina"	"C52"	11	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	83	6044969	1.4
	"1999"	"1999"	"Indiana"	"18"	"Endometrium - Malignant neoplasms"	"C54.1"	75	6044969	1.2
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of uterus, part unspecified"	"C55"	73	6044969	1.2
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of ovary"	"C56"	323	6044969	5.3
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of prostate"	"C61"	746	6044969	12.3
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	269	6044969	4.4
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of ureter"	"C66"	10	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	299	6044969	4.9
	"1999"	"1999"	"Indiana"	"18"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	258	6044969	4.3
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm of thyroid gland"	"C73"	32	6044969	0.5
	"1999"	"1999"	"Indiana"	"18"	"Head, face and neck - Malignant neoplasms"	"C76.0"	52	6044969	0.9
	"1999"	"1999"	"Indiana"	"18"	"Abdomen - Malignant neoplasms"	"C76.2"	27	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	15	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	58	6044969	1.0
	"1999"	"1999"	"Indiana"	"18"	"Secondary malignant neoplasm of kidney and renal pelvis - Malignant neoplasms"	"C79.0"	12	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	24	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	27	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasm without specification of site"	"C80"	585	6044969	9.7
	"1999"	"1999"	"Indiana"	"18"	"Hodgkin disease, unspecified"	"C81.9"	32	6044969	0.5
	"1999"	"1999"	"Indiana"	"18"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	33	6044969	0.5
	"1999"	"1999"	"Indiana"	"18"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	470	6044969	7.8
	"1999"	"1999"	"Indiana"	"18"	"Waldenstr÷m macroglobulinemia"	"C88.0"	12	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	220	6044969	3.6
	"1999"	"1999"	"Indiana"	"18"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	27	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	115	6044969	1.9
	"1999"	"1999"	"Indiana"	"18"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	131	6044969	2.2
	"1999"	"1999"	"Indiana"	"18"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	53	6044969	0.9
	"1999"	"1999"	"Indiana"	"18"	"Myeloid leukaemia, unspecified - Malignant neoplasms"	"C92.9"	12	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	63	6044969	1.0
	"1999"	"1999"	"Indiana"	"18"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	63	6044969	1.0
	"1999"	"1999"	"Indiana"	"18"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	117	6044969	1.9
	"1999"	"1999"	"Indiana"	"18"	"Meninges, unspecified - Benign neoplasms"	"D32.9"	10	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	10	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	56	6044969	0.9
	"1999"	"1999"	"Indiana"	"18"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	100	6044969	1.7
	"1999"	"1999"	"Indiana"	"18"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	26	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Aplastic anaemia, unspecified"	"D61.9"	26	6044969	0.4
	"1999"	"1999"	"Indiana"	"18"	"Anaemia, unspecified"	"D64.9"	66	6044969	1.1
	"1999"	"1999"	"Indiana"	"18"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	13	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Coagulation defect, unspecified"	"D68.9"	12	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Thrombocytopenia, unspecified"	"D69.6"	13	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Sarcoidosis, unspecified"	"D86.9"	11	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Hypothyroidism, unspecified"	"E03.9"	40	6044969	0.7
	"1999"	"1999"	"Indiana"	"18"	"Insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E10.5"	35	6044969	0.6
	"1999"	"1999"	"Indiana"	"18"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	218	6044969	3.6
	"1999"	"1999"	"Indiana"	"18"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	21	6044969	0.3
	"1999"	"1999"	"Indiana"	"18"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	201	6044969	3.3
	"1999"	"1999"	"Indiana"	"18"	"Unspecified diabetes mellitus, with coma"	"E14.0"	13	6044969	Unreliable
