"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Iowa"	"19"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	11	2917634	Unreliable
	"1999"	"1999"	"Iowa"	"19"	"Septicaemia, unspecified"	"A41.9"	214	2917634	7.3
	"1999"	"1999"	"Iowa"	"19"	"Acute hepatitis C"	"B17.1"	17	2917634	Unreliable
	"1999"	"1999"	"Iowa"	"19"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	16	2917634	Unreliable
	"1999"	"1999"	"Iowa"	"19"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	132	2917634	4.5
	"1999"	"1999"	"Iowa"	"19"	"Cardia - Malignant neoplasms"	"C16.0"	12	2917634	Unreliable
	"1999"	"1999"	"Iowa"	"19"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	86	2917634	2.9
	"1999"	"1999"	"Iowa"	"19"	"Ascending colon - Malignant neoplasms"	"C18.2"	11	2917634	Unreliable
	"1999"	"1999"	"Iowa"	"19"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	597	2917634	20.5
	"1999"	"1999"	"Iowa"	"19"	"Malignant neoplasm of rectosigmoid junction"	"C19"	20	2917634	0.7
	"1999"	"1999"	"Iowa"	"19"	"Malignant neoplasm of rectum"	"C20"	83	2917634	2.8
	"1999"	"1999"	"Iowa"	"19"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	45	2917634	1.5
	"1999"	"1999"	"Iowa"	"19"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	38	2917634	1.3
	"1999"	"1999"	"Iowa"	"19"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	33	2917634	1.1
	"1999"	"1999"	"Iowa"	"19"	"Malignant neoplasm of gallbladder"	"C23"	28	2917634	1.0
	"1999"	"1999"	"Iowa"	"19"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	16	2917634	Unreliable
	"1999"	"1999"	"Iowa"	"19"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	299	2917634	10.2
	"1999"	"1999"	"Iowa"	"19"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	43	2917634	1.5
	"1999"	"1999"	"Iowa"	"19"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1659	2917634	56.9
	"1999"	"1999"	"Iowa"	"19"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	10	2917634	Unreliable
	"1999"	"1999"	"Iowa"	"19"	"Malignant melanoma of trunk - Malignant neoplasms"	"C43.5"	21	2917634	0.7
	"1999"	"1999"	"Iowa"	"19"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	49	2917634	1.7
