"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Kansas"	"20"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	12	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Septicaemia, unspecified"	"A41.9"	232	2678338	8.7
	"1999"	"1999"	"Kansas"	"20"	"Acute hepatitis C"	"B17.1"	13	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Chronic viral hepatitis C"	"B18.2"	21	2678338	0.8
	"1999"	"1999"	"Kansas"	"20"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	13	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	11	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	11	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	129	2678338	4.8
	"1999"	"1999"	"Kansas"	"20"	"Cardia - Malignant neoplasms"	"C16.0"	11	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	89	2678338	3.3
	"1999"	"1999"	"Kansas"	"20"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	494	2678338	18.4
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm of rectosigmoid junction"	"C19"	22	2678338	0.8
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm of rectum"	"C20"	54	2678338	2.0
	"1999"	"1999"	"Kansas"	"20"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	38	2678338	1.4
	"1999"	"1999"	"Kansas"	"20"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	23	2678338	0.9
	"1999"	"1999"	"Kansas"	"20"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	43	2678338	1.6
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm of gallbladder"	"C23"	18	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	12	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	302	2678338	11.3
	"1999"	"1999"	"Kansas"	"20"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	28	2678338	1.0
	"1999"	"1999"	"Kansas"	"20"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1468	2678338	54.8
	"1999"	"1999"	"Kansas"	"20"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	79	2678338	2.9
	"1999"	"1999"	"Kansas"	"20"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	12	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	14	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	26	2678338	1.0
	"1999"	"1999"	"Kansas"	"20"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	392	2678338	14.6
	"1999"	"1999"	"Kansas"	"20"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	27	2678338	1.0
	"1999"	"1999"	"Kansas"	"20"	"Endometrium - Malignant neoplasms"	"C54.1"	37	2678338	1.4
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm of uterus, part unspecified"	"C55"	34	2678338	1.3
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm of ovary"	"C56"	138	2678338	5.2
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm of prostate"	"C61"	314	2678338	11.7
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	102	2678338	3.8
	"1999"	"1999"	"Kansas"	"20"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	105	2678338	3.9
	"1999"	"1999"	"Kansas"	"20"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	127	2678338	4.7
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm of thyroid gland"	"C73"	13	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Head, face and neck - Malignant neoplasms"	"C76.0"	21	2678338	0.8
	"1999"	"1999"	"Kansas"	"20"	"Abdomen - Malignant neoplasms"	"C76.2"	22	2678338	0.8
	"1999"	"1999"	"Kansas"	"20"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	12	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	16	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	13	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Malignant neoplasm without specification of site"	"C80"	206	2678338	7.7
	"1999"	"1999"	"Kansas"	"20"	"Hodgkin disease, unspecified"	"C81.9"	21	2678338	0.8
	"1999"	"1999"	"Kansas"	"20"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	11	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	198	2678338	7.4
	"1999"	"1999"	"Kansas"	"20"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	96	2678338	3.6
	"1999"	"1999"	"Kansas"	"20"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	23	2678338	0.9
	"1999"	"1999"	"Kansas"	"20"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	53	2678338	2.0
	"1999"	"1999"	"Kansas"	"20"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	65	2678338	2.4
