"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Louisiana"	"22"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	10	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	10	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	13	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	14	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	18	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Septicaemia, unspecified"	"A41.9"	646	4460811	14.5
	"1999"	"1999"	"Louisiana"	"22"	"Staphylococcal infection, unspecified"	"A49.0"	10	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Bacterial infection, unspecified"	"A49.9"	19	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	23	4460811	0.5
	"1999"	"1999"	"Louisiana"	"22"	"Acute hepatitis C"	"B17.1"	77	4460811	1.7
	"1999"	"1999"	"Louisiana"	"22"	"Chronic viral hepatitis C"	"B18.2"	22	4460811	0.5
	"1999"	"1999"	"Louisiana"	"22"	"HIV disease resulting in other bacterial infections"	"B20.1"	24	4460811	0.5
	"1999"	"1999"	"Louisiana"	"22"	"HIV disease resulting in other viral infections"	"B20.3"	18	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	15	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"HIV disease resulting in multiple infections"	"B20.7"	42	4460811	0.9
	"1999"	"1999"	"Louisiana"	"22"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	34	4460811	0.8
	"1999"	"1999"	"Louisiana"	"22"	"HIV disease resulting in wasting syndrome"	"B22.2"	18	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	35	4460811	0.8
	"1999"	"1999"	"Louisiana"	"22"	"HIV disease resulting in other specified conditions"	"B23.8"	53	4460811	1.2
	"1999"	"1999"	"Louisiana"	"22"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	95	4460811	2.1
	"1999"	"1999"	"Louisiana"	"22"	"Unspecified mycosis"	"B49"	12	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	21	4460811	0.5
	"1999"	"1999"	"Louisiana"	"22"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	25	4460811	0.6
	"1999"	"1999"	"Louisiana"	"22"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	25	4460811	0.6
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of parotid gland"	"C07"	11	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	14	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	46	4460811	1.0
	"1999"	"1999"	"Louisiana"	"22"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	197	4460811	4.4
	"1999"	"1999"	"Louisiana"	"22"	"Cardia - Malignant neoplasms"	"C16.0"	11	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	219	4460811	4.9
	"1999"	"1999"	"Louisiana"	"22"	"Duodenum - Malignant neoplasms"	"C17.0"	14	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	816	4460811	18.3
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of rectosigmoid junction"	"C19"	20	4460811	0.4
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of rectum"	"C20"	97	4460811	2.2
	"1999"	"1999"	"Louisiana"	"22"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	59	4460811	1.3
	"1999"	"1999"	"Louisiana"	"22"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	26	4460811	0.6
	"1999"	"1999"	"Louisiana"	"22"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	162	4460811	3.6
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of gallbladder"	"C23"	25	4460811	0.6
	"1999"	"1999"	"Louisiana"	"22"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	503	4460811	11.3
	"1999"	"1999"	"Louisiana"	"22"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	21	4460811	0.5
	"1999"	"1999"	"Louisiana"	"22"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	71	4460811	1.6
	"1999"	"1999"	"Louisiana"	"22"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2688	4460811	60.3
	"1999"	"1999"	"Louisiana"	"22"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	20	4460811	0.4
	"1999"	"1999"	"Louisiana"	"22"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	79	4460811	1.8
	"1999"	"1999"	"Louisiana"	"22"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	10	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	32	4460811	0.7
	"1999"	"1999"	"Louisiana"	"22"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	50	4460811	1.1
	"1999"	"1999"	"Louisiana"	"22"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	691	4460811	15.5
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of vagina"	"C52"	12	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	69	4460811	1.5
	"1999"	"1999"	"Louisiana"	"22"	"Endometrium - Malignant neoplasms"	"C54.1"	38	4460811	0.9
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of uterus, part unspecified"	"C55"	62	4460811	1.4
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of ovary"	"C56"	184	4460811	4.1
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of prostate"	"C61"	551	4460811	12.4
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	194	4460811	4.3
	"1999"	"1999"	"Louisiana"	"22"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	144	4460811	3.2
	"1999"	"1999"	"Louisiana"	"22"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	164	4460811	3.7
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm of thyroid gland"	"C73"	13	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	11	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Head, face and neck - Malignant neoplasms"	"C76.0"	26	4460811	0.6
	"1999"	"1999"	"Louisiana"	"22"	"Abdomen - Malignant neoplasms"	"C76.2"	19	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	22	4460811	0.5
	"1999"	"1999"	"Louisiana"	"22"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	39	4460811	0.9
	"1999"	"1999"	"Louisiana"	"22"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	15	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	18	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Malignant neoplasm without specification of site"	"C80"	670	4460811	15.0
	"1999"	"1999"	"Louisiana"	"22"	"Hodgkin disease, unspecified"	"C81.9"	14	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	27	4460811	0.6
	"1999"	"1999"	"Louisiana"	"22"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	287	4460811	6.4
	"1999"	"1999"	"Louisiana"	"22"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	177	4460811	4.0
	"1999"	"1999"	"Louisiana"	"22"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	19	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	53	4460811	1.2
	"1999"	"1999"	"Louisiana"	"22"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	124	4460811	2.8
