"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Mississippi"	"28"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	12	2828408	Unreliable
	"1999"	"1999"	"Mississippi"	"28"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	14	2828408	Unreliable
	"1999"	"1999"	"Mississippi"	"28"	"Septicaemia, unspecified"	"A41.9"	381	2828408	13.5
	"1999"	"1999"	"Mississippi"	"28"	"Acute hepatitis C"	"B17.1"	26	2828408	0.9
	"1999"	"1999"	"Mississippi"	"28"	"HIV disease resulting in other bacterial infections"	"B20.1"	12	2828408	Unreliable
	"1999"	"1999"	"Mississippi"	"28"	"HIV disease resulting in multiple infections"	"B20.7"	14	2828408	Unreliable
	"1999"	"1999"	"Mississippi"	"28"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	27	2828408	1.0
	"1999"	"1999"	"Mississippi"	"28"	"HIV disease resulting in other specified conditions"	"B23.8"	35	2828408	1.2
	"1999"	"1999"	"Mississippi"	"28"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	33	2828408	1.2
	"1999"	"1999"	"Mississippi"	"28"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	14	2828408	Unreliable
	"1999"	"1999"	"Mississippi"	"28"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	12	2828408	Unreliable
	"1999"	"1999"	"Mississippi"	"28"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	60	2828408	2.1
	"1999"	"1999"	"Mississippi"	"28"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	103	2828408	3.6
	"1999"	"1999"	"Mississippi"	"28"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	143	2828408	5.1
	"1999"	"1999"	"Mississippi"	"28"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	493	2828408	17.4
	"1999"	"1999"	"Mississippi"	"28"	"Malignant neoplasm of rectosigmoid junction"	"C19"	18	2828408	Unreliable
	"1999"	"1999"	"Mississippi"	"28"	"Malignant neoplasm of rectum"	"C20"	61	2828408	2.2
	"1999"	"1999"	"Mississippi"	"28"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	33	2828408	1.2
	"1999"	"1999"	"Mississippi"	"28"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	14	2828408	Unreliable
	"1999"	"1999"	"Mississippi"	"28"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	101	2828408	3.6
	"1999"	"1999"	"Mississippi"	"28"	"Malignant neoplasm of gallbladder"	"C23"	21	2828408	0.7
	"1999"	"1999"	"Mississippi"	"28"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	327	2828408	11.6
	"1999"	"1999"	"Mississippi"	"28"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	22	2828408	0.8
	"1999"	"1999"	"Mississippi"	"28"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	35	2828408	1.2
	"1999"	"1999"	"Mississippi"	"28"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1886	2828408	66.7
	"1999"	"1999"	"Mississippi"	"28"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	22	2828408	0.8
	"1999"	"1999"	"Mississippi"	"28"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	50	2828408	1.8
	"1999"	"1999"	"Mississippi"	"28"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	16	2828408	Unreliable
