"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Maryland"	"24"	"Enterocolitis due to Clostridium difficile"	"A04.7"	22	5254509	0.4
	"1999"	"1999"	"Maryland"	"24"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	12	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	19	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	15	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"Septicaemia, unspecified"	"A41.9"	909	5254509	17.3
	"1999"	"1999"	"Maryland"	"24"	"Bacterial infection, unspecified"	"A49.9"	22	5254509	0.4
	"1999"	"1999"	"Maryland"	"24"	"Acute hepatitis C"	"B17.1"	61	5254509	1.2
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in other bacterial infections"	"B20.1"	75	5254509	1.4
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in other viral infections"	"B20.3"	17	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in other mycoses"	"B20.5"	14	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	22	5254509	0.4
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in multiple infections"	"B20.7"	76	5254509	1.4
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	58	5254509	1.1
	"1999"	"1999"	"Maryland"	"24"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	17	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	53	5254509	1.0
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	12	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"HIV disease resulting in other specified conditions"	"B23.8"	111	5254509	2.1
	"1999"	"1999"	"Maryland"	"24"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	106	5254509	2.0
	"1999"	"1999"	"Maryland"	"24"	"Viral infection, unspecified"	"B34.9"	11	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"Unspecified mycosis"	"B49"	16	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"Pneumocystosis"	"B59"	10	5254509	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	29	5254509	0.6
	"1999"	"1999"	"Maryland"	"24"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	33	5254509	0.6
	"1999"	"1999"	"Maryland"	"24"	"Malignant neoplasm of parotid gland"	"C07"	13	5254509	Unreliable
