"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Massachusetts"	"25"	"Enterocolitis due to Clostridium difficile"	"A04.7"	40	6317345	0.6
	"1999"	"1999"	"Massachusetts"	"25"	"Other specified bacterial intestinal infections"	"A04.8"	12	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	11	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	21	6317345	0.3
	"1999"	"1999"	"Massachusetts"	"25"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	15	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Septicaemia, unspecified"	"A41.9"	818	6317345	12.9
	"1999"	"1999"	"Massachusetts"	"25"	"Other bacterial infections of unspecified site"	"A49.8"	11	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Bacterial infection, unspecified"	"A49.9"	34	6317345	0.5
	"1999"	"1999"	"Massachusetts"	"25"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	16	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Acute hepatitis C"	"B17.1"	71	6317345	1.1
	"1999"	"1999"	"Massachusetts"	"25"	"HIV disease resulting in other bacterial infections"	"B20.1"	23	6317345	0.4
	"1999"	"1999"	"Massachusetts"	"25"	"HIV disease resulting in other viral infections"	"B20.3"	24	6317345	0.4
	"1999"	"1999"	"Massachusetts"	"25"	"HIV disease resulting in multiple infections"	"B20.7"	21	6317345	0.3
	"1999"	"1999"	"Massachusetts"	"25"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	24	6317345	0.4
	"1999"	"1999"	"Massachusetts"	"25"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	22	6317345	0.3
	"1999"	"1999"	"Massachusetts"	"25"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	16	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"HIV disease resulting in other specified conditions"	"B23.8"	52	6317345	0.8
	"1999"	"1999"	"Massachusetts"	"25"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	48	6317345	0.8
	"1999"	"1999"	"Massachusetts"	"25"	"Viral infection, unspecified"	"B34.9"	11	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Unspecified mycosis"	"B49"	13	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	25	6317345	0.4
	"1999"	"1999"	"Massachusetts"	"25"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	51	6317345	0.8
	"1999"	"1999"	"Massachusetts"	"25"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	21	6317345	0.3
	"1999"	"1999"	"Massachusetts"	"25"	"Malignant neoplasm of parotid gland"	"C07"	16	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	12	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	18	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	18	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	33	6317345	0.5
	"1999"	"1999"	"Massachusetts"	"25"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	352	6317345	5.6
	"1999"	"1999"	"Massachusetts"	"25"	"Cardia - Malignant neoplasms"	"C16.0"	11	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	321	6317345	5.1
	"1999"	"1999"	"Massachusetts"	"25"	"Caecum - Malignant neoplasms"	"C18.0"	16	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	12	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	1239	6317345	19.6
	"1999"	"1999"	"Massachusetts"	"25"	"Malignant neoplasm of rectosigmoid junction"	"C19"	43	6317345	0.7
	"1999"	"1999"	"Massachusetts"	"25"	"Malignant neoplasm of rectum"	"C20"	193	6317345	3.1
	"1999"	"1999"	"Massachusetts"	"25"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	125	6317345	2.0
	"1999"	"1999"	"Massachusetts"	"25"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	66	6317345	1.0
	"1999"	"1999"	"Massachusetts"	"25"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	86	6317345	1.4
	"1999"	"1999"	"Massachusetts"	"25"	"Malignant neoplasm of gallbladder"	"C23"	55	6317345	0.9
	"1999"	"1999"	"Massachusetts"	"25"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	17	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	18	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	739	6317345	11.7
	"1999"	"1999"	"Massachusetts"	"25"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	19	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	23	6317345	0.4
	"1999"	"1999"	"Massachusetts"	"25"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	95	6317345	1.5
	"1999"	"1999"	"Massachusetts"	"25"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	3589	6317345	56.8
	"1999"	"1999"	"Massachusetts"	"25"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	15	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	179	6317345	2.8
	"1999"	"1999"	"Massachusetts"	"25"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	25	6317345	0.4
	"1999"	"1999"	"Massachusetts"	"25"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	18	6317345	Unreliable
	"1999"	"1999"	"Massachusetts"	"25"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	65	6317345	1.0
