"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Michigan"	"26"	"Enterocolitis due to Clostridium difficile"	"A04.7"	23	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	14	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Septicaemia due to streptococcus, group D"	"A40.2"	12	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	12	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	23	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	28	9897116	0.3
	"1999"	"1999"	"Michigan"	"26"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	31	9897116	0.3
	"1999"	"1999"	"Michigan"	"26"	"Septicaemia, unspecified"	"A41.9"	1016	9897116	10.3
	"1999"	"1999"	"Michigan"	"26"	"Staphylococcal infection, unspecified"	"A49.0"	12	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Bacterial infection, unspecified"	"A49.9"	34	9897116	0.3
	"1999"	"1999"	"Michigan"	"26"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	10	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	27	9897116	0.3
	"1999"	"1999"	"Michigan"	"26"	"Acute hepatitis C"	"B17.1"	68	9897116	0.7
	"1999"	"1999"	"Michigan"	"26"	"Chronic viral hepatitis C"	"B18.2"	10	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"HIV disease resulting in other bacterial infections"	"B20.1"	22	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"HIV disease resulting in multiple infections"	"B20.7"	27	9897116	0.3
	"1999"	"1999"	"Michigan"	"26"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	22	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	18	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"HIV disease resulting in other specified conditions"	"B23.8"	44	9897116	0.4
	"1999"	"1999"	"Michigan"	"26"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	53	9897116	0.5
	"1999"	"1999"	"Michigan"	"26"	"Viral infection, unspecified"	"B34.9"	11	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Candidal septicaemia"	"B37.7"	13	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Unspecified mycosis"	"B49"	36	9897116	0.4
	"1999"	"1999"	"Michigan"	"26"	"Sequelae of viral hepatitis"	"B94.2"	17	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	53	9897116	0.5
	"1999"	"1999"	"Michigan"	"26"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	48	9897116	0.5
	"1999"	"1999"	"Michigan"	"26"	"Floor of mouth, unspecified - Malignant neoplasms"	"C04.9"	12	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	39	9897116	0.4
	"1999"	"1999"	"Michigan"	"26"	"Malignant neoplasm of parotid gland"	"C07"	16	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	20	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	22	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	22	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	34	9897116	0.3
	"1999"	"1999"	"Michigan"	"26"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	451	9897116	4.6
	"1999"	"1999"	"Michigan"	"26"	"Cardia - Malignant neoplasms"	"C16.0"	19	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	406	9897116	4.1
	"1999"	"1999"	"Michigan"	"26"	"Duodenum - Malignant neoplasms"	"C17.0"	16	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	16	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Caecum - Malignant neoplasms"	"C18.0"	19	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	23	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	1681	9897116	17.0
	"1999"	"1999"	"Michigan"	"26"	"Malignant neoplasm of rectosigmoid junction"	"C19"	55	9897116	0.6
	"1999"	"1999"	"Michigan"	"26"	"Malignant neoplasm of rectum"	"C20"	220	9897116	2.2
	"1999"	"1999"	"Michigan"	"26"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	172	9897116	1.7
	"1999"	"1999"	"Michigan"	"26"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	73	9897116	0.7
	"1999"	"1999"	"Michigan"	"26"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	198	9897116	2.0
	"1999"	"1999"	"Michigan"	"26"	"Malignant neoplasm of gallbladder"	"C23"	82	9897116	0.8
	"1999"	"1999"	"Michigan"	"26"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	37	9897116	0.4
	"1999"	"1999"	"Michigan"	"26"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	27	9897116	0.3
	"1999"	"1999"	"Michigan"	"26"	"Head of pancreas - Malignant neoplasms"	"C25.0"	13	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	1021	9897116	10.3
	"1999"	"1999"	"Michigan"	"26"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	23	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	47	9897116	0.5
	"1999"	"1999"	"Michigan"	"26"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	126	9897116	1.3
	"1999"	"1999"	"Michigan"	"26"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	19	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	14	9897116	Unreliable
	"1999"	"1999"	"Michigan"	"26"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	5405	9897116	54.6
	"1999"	"1999"	"Michigan"	"26"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	22	9897116	0.2
	"1999"	"1999"	"Michigan"	"26"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	211	9897116	2.1
	"1999"	"1999"	"Michigan"	"26"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	35	9897116	0.4
