"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Nevada"	"32"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	10	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Septicaemia, unspecified"	"A41.9"	269	1934718	13.9
	"1999"	"1999"	"Nevada"	"32"	"Acute hepatitis C"	"B17.1"	33	1934718	1.7
	"1999"	"1999"	"Nevada"	"32"	"HIV disease resulting in other bacterial infections"	"B20.1"	14	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"HIV disease resulting in multiple infections"	"B20.7"	13	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	10	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"HIV disease resulting in other specified conditions"	"B23.8"	23	1934718	1.2
	"1999"	"1999"	"Nevada"	"32"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	17	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	14	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	11	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	78	1934718	4.0
	"1999"	"1999"	"Nevada"	"32"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	59	1934718	3.0
	"1999"	"1999"	"Nevada"	"32"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	307	1934718	15.9
	"1999"	"1999"	"Nevada"	"32"	"Malignant neoplasm of rectosigmoid junction"	"C19"	13	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Malignant neoplasm of rectum"	"C20"	46	1934718	2.4
	"1999"	"1999"	"Nevada"	"32"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	26	1934718	1.3
	"1999"	"1999"	"Nevada"	"32"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	13	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	47	1934718	2.4
	"1999"	"1999"	"Nevada"	"32"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	177	1934718	9.1
	"1999"	"1999"	"Nevada"	"32"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	22	1934718	1.1
	"1999"	"1999"	"Nevada"	"32"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1128	1934718	58.3
	"1999"	"1999"	"Nevada"	"32"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	55	1934718	2.8
	"1999"	"1999"	"Nevada"	"32"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	10	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	15	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	17	1934718	Unreliable
	"1999"	"1999"	"Nevada"	"32"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	246	1934718	12.7
	"1999"	"1999"	"Nevada"	"32"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	23	1934718	1.2
