"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Missouri"	"29"	"Enterocolitis due to Clostridium difficile"	"A04.7"	24	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	10	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	25	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	23	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	18	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Septicaemia, unspecified"	"A41.9"	548	5561948	9.9
	"1999"	"1999"	"Missouri"	"29"	"Staphylococcal infection, unspecified"	"A49.0"	13	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	10	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Acute hepatitis C"	"B17.1"	47	5561948	0.8
	"1999"	"1999"	"Missouri"	"29"	"Chronic viral hepatitis C"	"B18.2"	17	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"HIV disease resulting in other bacterial infections"	"B20.1"	11	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"HIV disease resulting in multiple infections"	"B20.7"	20	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	15	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	11	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	12	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"HIV disease resulting in other specified conditions"	"B23.8"	22	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	23	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Unspecified mycosis"	"B49"	21	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Sequelae of viral hepatitis"	"B94.2"	10	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	28	5561948	0.5
	"1999"	"1999"	"Missouri"	"29"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	13	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of parotid gland"	"C07"	13	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	10	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	12	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	31	5561948	0.6
	"1999"	"1999"	"Missouri"	"29"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	232	5561948	4.2
	"1999"	"1999"	"Missouri"	"29"	"Cardia - Malignant neoplasms"	"C16.0"	24	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	199	5561948	3.6
	"1999"	"1999"	"Missouri"	"29"	"Caecum - Malignant neoplasms"	"C18.0"	13	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	10	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	1084	5561948	19.5
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of rectosigmoid junction"	"C19"	37	5561948	0.7
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of rectum"	"C20"	126	5561948	2.3
	"1999"	"1999"	"Missouri"	"29"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	15	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	94	5561948	1.7
	"1999"	"1999"	"Missouri"	"29"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	47	5561948	0.8
	"1999"	"1999"	"Missouri"	"29"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	102	5561948	1.8
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of gallbladder"	"C23"	48	5561948	0.9
	"1999"	"1999"	"Missouri"	"29"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	17	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	615	5561948	11.1
	"1999"	"1999"	"Missouri"	"29"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	12	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	25	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	88	5561948	1.6
	"1999"	"1999"	"Missouri"	"29"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	3610	5561948	64.9
	"1999"	"1999"	"Missouri"	"29"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	20	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	159	5561948	2.9
	"1999"	"1999"	"Missouri"	"29"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	24	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	20	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	40	5561948	0.7
	"1999"	"1999"	"Missouri"	"29"	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	12	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	56	5561948	1.0
	"1999"	"1999"	"Missouri"	"29"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	866	5561948	15.6
	"1999"	"1999"	"Missouri"	"29"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	21	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	99	5561948	1.8
	"1999"	"1999"	"Missouri"	"29"	"Endometrium - Malignant neoplasms"	"C54.1"	68	5561948	1.2
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of uterus, part unspecified"	"C55"	73	5561948	1.3
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of ovary"	"C56"	299	5561948	5.4
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of prostate"	"C61"	662	5561948	11.9
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	262	5561948	4.7
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of ureter"	"C66"	10	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	217	5561948	3.9
	"1999"	"1999"	"Missouri"	"29"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	251	5561948	4.5
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm of thyroid gland"	"C73"	29	5561948	0.5
	"1999"	"1999"	"Missouri"	"29"	"Head, face and neck - Malignant neoplasms"	"C76.0"	39	5561948	0.7
	"1999"	"1999"	"Missouri"	"29"	"Abdomen - Malignant neoplasms"	"C76.2"	18	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	21	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	51	5561948	0.9
	"1999"	"1999"	"Missouri"	"29"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	20	5561948	0.4
	"1999"	"1999"	"Missouri"	"29"	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	14	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	19	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasm without specification of site"	"C80"	658	5561948	11.8
	"1999"	"1999"	"Missouri"	"29"	"Hodgkin disease, unspecified"	"C81.9"	28	5561948	0.5
	"1999"	"1999"	"Missouri"	"29"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	50	5561948	0.9
	"1999"	"1999"	"Missouri"	"29"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	11	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	10	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	402	5561948	7.2
	"1999"	"1999"	"Missouri"	"29"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	213	5561948	3.8
	"1999"	"1999"	"Missouri"	"29"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	37	5561948	0.7
	"1999"	"1999"	"Missouri"	"29"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	100	5561948	1.8
	"1999"	"1999"	"Missouri"	"29"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	159	5561948	2.9
	"1999"	"1999"	"Missouri"	"29"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	55	5561948	1.0
	"1999"	"1999"	"Missouri"	"29"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	54	5561948	1.0
	"1999"	"1999"	"Missouri"	"29"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	45	5561948	0.8
	"1999"	"1999"	"Missouri"	"29"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	109	5561948	2.0
	"1999"	"1999"	"Missouri"	"29"	"Meninges, unspecified - Benign neoplasms"	"D32.9"	12	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	13	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	63	5561948	1.1
	"1999"	"1999"	"Missouri"	"29"	"Polycythaemia vera"	"D45"	11	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Refractory anaemia, unspecified - Uncertain neoplasms"	"D46.4"	11	5561948	Unreliable
	"1999"	"1999"	"Missouri"	"29"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	98	5561948	1.8
