"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"North Dakota"	"38"	"Septicaemia, unspecified"	"A41.9"	28	644259	4.3
	"1999"	"1999"	"North Dakota"	"38"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	28	644259	4.3
	"1999"	"1999"	"North Dakota"	"38"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	37	644259	5.7
	"1999"	"1999"	"North Dakota"	"38"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	113	644259	17.5
	"1999"	"1999"	"North Dakota"	"38"	"Malignant neoplasm of rectum"	"C20"	17	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	20	644259	3.1
	"1999"	"1999"	"North Dakota"	"38"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	69	644259	10.7
	"1999"	"1999"	"North Dakota"	"38"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	294	644259	45.6
	"1999"	"1999"	"North Dakota"	"38"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	114	644259	17.7
	"1999"	"1999"	"North Dakota"	"38"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	10	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Malignant neoplasm of ovary"	"C56"	31	644259	4.8
	"1999"	"1999"	"North Dakota"	"38"	"Malignant neoplasm of prostate"	"C61"	88	644259	13.7
	"1999"	"1999"	"North Dakota"	"38"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	38	644259	5.9
	"1999"	"1999"	"North Dakota"	"38"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	39	644259	6.1
	"1999"	"1999"	"North Dakota"	"38"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	36	644259	5.6
	"1999"	"1999"	"North Dakota"	"38"	"Malignant neoplasm without specification of site"	"C80"	70	644259	10.9
	"1999"	"1999"	"North Dakota"	"38"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	54	644259	8.4
	"1999"	"1999"	"North Dakota"	"38"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	27	644259	4.2
	"1999"	"1999"	"North Dakota"	"38"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	14	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	24	644259	3.7
	"1999"	"1999"	"North Dakota"	"38"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	13	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	15	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	29	644259	4.5
	"1999"	"1999"	"North Dakota"	"38"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	35	644259	5.4
	"1999"	"1999"	"North Dakota"	"38"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	13	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Unspecified diabetes mellitus, without complications"	"E14.9"	99	644259	15.4
	"1999"	"1999"	"North Dakota"	"38"	"Unspecified protein-energy malnutrition"	"E46"	10	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Volume depletion"	"E86"	14	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Unspecified dementia"	"F03"	107	644259	16.6
	"1999"	"1999"	"North Dakota"	"38"	"Motor neuron disease"	"G12.2"	22	644259	3.4
	"1999"	"1999"	"North Dakota"	"38"	"Parkinson disease"	"G20"	49	644259	7.6
	"1999"	"1999"	"North Dakota"	"38"	"Alzheimer disease, unspecified"	"G30.9"	150	644259	23.3
	"1999"	"1999"	"North Dakota"	"38"	"Essential (primary) hypertension"	"I10"	36	644259	5.6
	"1999"	"1999"	"North Dakota"	"38"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	28	644259	4.3
	"1999"	"1999"	"North Dakota"	"38"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	14	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Hypertensive renal disease with renal failure"	"I12.0"	15	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Acute myocardial infarction, unspecified"	"I21.9"	638	644259	99.0
	"1999"	"1999"	"North Dakota"	"38"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	117	644259	18.2
	"1999"	"1999"	"North Dakota"	"38"	"Atherosclerotic heart disease"	"I25.1"	478	644259	74.2
	"1999"	"1999"	"North Dakota"	"38"	"Ischaemic cardiomyopathy"	"I25.5"	23	644259	3.6
	"1999"	"1999"	"North Dakota"	"38"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	45	644259	7.0
	"1999"	"1999"	"North Dakota"	"38"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	25	644259	3.9
	"1999"	"1999"	"North Dakota"	"38"	"Aortic (valve) stenosis"	"I35.0"	34	644259	5.3
	"1999"	"1999"	"North Dakota"	"38"	"Endocarditis, valve unspecified"	"I38"	19	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Dilated cardiomyopathy"	"I42.0"	11	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Cardiomyopathy, unspecified"	"I42.9"	22	644259	3.4
	"1999"	"1999"	"North Dakota"	"38"	"Sudden cardiac death, so described"	"I46.1"	17	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Cardiac arrest, unspecified"	"I46.9"	33	644259	5.1
	"1999"	"1999"	"North Dakota"	"38"	"Atrial fibrillation and flutter"	"I48"	26	644259	4.0
	"1999"	"1999"	"North Dakota"	"38"	"Cardiac arrhythmia, unspecified"	"I49.9"	15	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Congestive heart failure"	"I50.0"	178	644259	27.6
	"1999"	"1999"	"North Dakota"	"38"	"Heart failure, unspecified"	"I50.9"	13	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	15	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Intracerebral haemorrhage, unspecified"	"I61.9"	42	644259	6.5
	"1999"	"1999"	"North Dakota"	"38"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	16	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	10	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Cerebral infarction, unspecified"	"I63.9"	21	644259	3.3
	"1999"	"1999"	"North Dakota"	"38"	"Stroke, not specified as haemorrhage or infarction"	"I64"	314	644259	48.7
	"1999"	"1999"	"North Dakota"	"38"	"Cerebrovascular disease, unspecified"	"I67.9"	14	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	29	644259	4.5
	"1999"	"1999"	"North Dakota"	"38"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	19	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Generalized and unspecified atherosclerosis"	"I70.9"	41	644259	6.4
	"1999"	"1999"	"North Dakota"	"38"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	20	644259	3.1
	"1999"	"1999"	"North Dakota"	"38"	"Peripheral vascular disease, unspecified"	"I73.9"	21	644259	3.3
	"1999"	"1999"	"North Dakota"	"38"	"Pneumonia, unspecified"	"J18.9"	135	644259	21.0
	"1999"	"1999"	"North Dakota"	"38"	"Emphysema, unspecified"	"J43.9"	15	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	230	644259	35.7
	"1999"	"1999"	"North Dakota"	"38"	"Asthma, unspecified"	"J45.9"	14	644259	Unreliable
	"1999"	"1999"	"North Dakota"	"38"	"Pneumonitis due to food and vomit"	"J69.0"	50	644259	7.8
