"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"New Jersey"	"34"	"Enterocolitis due to Clostridium difficile"	"A04.7"	42	8359592	0.5
	"1999"	"1999"	"New Jersey"	"34"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	17	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	28	8359592	0.3
	"1999"	"1999"	"New Jersey"	"34"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	40	8359592	0.5
	"1999"	"1999"	"New Jersey"	"34"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	23	8359592	0.3
	"1999"	"1999"	"New Jersey"	"34"	"Other specified septicaemia"	"A41.8"	10	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"Septicaemia, unspecified"	"A41.9"	1619	8359592	19.4
	"1999"	"1999"	"New Jersey"	"34"	"Staphylococcal infection, unspecified"	"A49.0"	12	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"Bacterial infection, unspecified"	"A49.9"	22	8359592	0.3
	"1999"	"1999"	"New Jersey"	"34"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	16	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"Acute hepatitis C"	"B17.1"	79	8359592	0.9
	"1999"	"1999"	"New Jersey"	"34"	"Chronic viral hepatitis C"	"B18.2"	15	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in other bacterial infections"	"B20.1"	89	8359592	1.1
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in other viral infections"	"B20.3"	38	8359592	0.5
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in other mycoses"	"B20.5"	19	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	30	8359592	0.4
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in multiple infections"	"B20.7"	91	8359592	1.1
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	90	8359592	1.1
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	23	8359592	0.3
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in other malignant neoplasms"	"B21.8"	14	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in wasting syndrome"	"B22.2"	20	8359592	0.2
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	80	8359592	1.0
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	31	8359592	0.4
	"1999"	"1999"	"New Jersey"	"34"	"HIV disease resulting in other specified conditions"	"B23.8"	186	8359592	2.2
	"1999"	"1999"	"New Jersey"	"34"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	170	8359592	2.0
	"1999"	"1999"	"New Jersey"	"34"	"Candidal septicaemia"	"B37.7"	11	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"Unspecified mycosis"	"B49"	31	8359592	0.4
	"1999"	"1999"	"New Jersey"	"34"	"Pneumocystosis"	"B59"	10	8359592	Unreliable
	"1999"	"1999"	"New Jersey"	"34"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	30	8359592	0.4
	"1999"	"1999"	"New Jersey"	"34"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	55	8359592	0.7
	"1999"	"1999"	"New Jersey"	"34"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	22	8359592	0.3
