"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Oregon"	"41"	"Enterocolitis due to Clostridium difficile"	"A04.7"	12	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Septicaemia, unspecified"	"A41.9"	166	3393941	4.9
	"1999"	"1999"	"Oregon"	"41"	"Acute hepatitis C"	"B17.1"	40	3393941	1.2
	"1999"	"1999"	"Oregon"	"41"	"HIV disease resulting in other viral infections"	"B20.3"	10	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	10	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	11	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	28	3393941	0.8
	"1999"	"1999"	"Oregon"	"41"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	10	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	18	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	166	3393941	4.9
	"1999"	"1999"	"Oregon"	"41"	"Cardia - Malignant neoplasms"	"C16.0"	10	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	126	3393941	3.7
	"1999"	"1999"	"Oregon"	"41"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	543	3393941	16.0
	"1999"	"1999"	"Oregon"	"41"	"Malignant neoplasm of rectosigmoid junction"	"C19"	23	3393941	0.7
	"1999"	"1999"	"Oregon"	"41"	"Malignant neoplasm of rectum"	"C20"	96	3393941	2.8
	"1999"	"1999"	"Oregon"	"41"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	49	3393941	1.4
	"1999"	"1999"	"Oregon"	"41"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	25	3393941	0.7
	"1999"	"1999"	"Oregon"	"41"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	30	3393941	0.9
	"1999"	"1999"	"Oregon"	"41"	"Malignant neoplasm of gallbladder"	"C23"	17	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Biliary tract, unspecified - Malignant neoplasms"	"C24.9"	10	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	374	3393941	11.0
	"1999"	"1999"	"Oregon"	"41"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	10	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	11	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	27	3393941	0.8
	"1999"	"1999"	"Oregon"	"41"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1876	3393941	55.3
	"1999"	"1999"	"Oregon"	"41"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	11	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	107	3393941	3.2
	"1999"	"1999"	"Oregon"	"41"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	10	3393941	Unreliable
	"1999"	"1999"	"Oregon"	"41"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	23	3393941	0.7
	"1999"	"1999"	"Oregon"	"41"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	44	3393941	1.3
	"1999"	"1999"	"Oregon"	"41"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	513	3393941	15.1
	"1999"	"1999"	"Oregon"	"41"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	36	3393941	1.1
	"1999"	"1999"	"Oregon"	"41"	"Endometrium - Malignant neoplasms"	"C54.1"	33	3393941	1.0
	"1999"	"1999"	"Oregon"	"41"	"Malignant neoplasm of uterus, part unspecified"	"C55"	37	3393941	1.1
	"1999"	"1999"	"Oregon"	"41"	"Malignant neoplasm of ovary"	"C56"	191	3393941	5.6
	"1999"	"1999"	"Oregon"	"41"	"Malignant neoplasm of prostate"	"C61"	446	3393941	13.1
