"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Oklahoma"	"40"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	17	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Septicaemia, unspecified"	"A41.9"	372	3437147	10.8
	"1999"	"1999"	"Oklahoma"	"40"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	14	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Acute hepatitis C"	"B17.1"	43	3437147	1.3
	"1999"	"1999"	"Oklahoma"	"40"	"HIV disease resulting in other specified conditions"	"B23.8"	11	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	35	3437147	1.0
	"1999"	"1999"	"Oklahoma"	"40"	"Sequelae of viral hepatitis"	"B94.2"	13	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	13	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	15	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	15	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	141	3437147	4.1
	"1999"	"1999"	"Oklahoma"	"40"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	115	3437147	3.3
	"1999"	"1999"	"Oklahoma"	"40"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	629	3437147	18.3
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of rectosigmoid junction"	"C19"	17	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of rectum"	"C20"	69	3437147	2.0
	"1999"	"1999"	"Oklahoma"	"40"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	55	3437147	1.6
	"1999"	"1999"	"Oklahoma"	"40"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	31	3437147	0.9
	"1999"	"1999"	"Oklahoma"	"40"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	54	3437147	1.6
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of gallbladder"	"C23"	24	3437147	0.7
	"1999"	"1999"	"Oklahoma"	"40"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	382	3437147	11.1
	"1999"	"1999"	"Oklahoma"	"40"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	11	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	49	3437147	1.4
	"1999"	"1999"	"Oklahoma"	"40"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2212	3437147	64.4
	"1999"	"1999"	"Oklahoma"	"40"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	10	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	140	3437147	4.1
	"1999"	"1999"	"Oklahoma"	"40"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	22	3437147	0.6
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	17	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	15	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	36	3437147	1.0
	"1999"	"1999"	"Oklahoma"	"40"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	523	3437147	15.2
	"1999"	"1999"	"Oklahoma"	"40"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	65	3437147	1.9
	"1999"	"1999"	"Oklahoma"	"40"	"Endometrium - Malignant neoplasms"	"C54.1"	42	3437147	1.2
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of uterus, part unspecified"	"C55"	34	3437147	1.0
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of ovary"	"C56"	152	3437147	4.4
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of prostate"	"C61"	393	3437147	11.4
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	177	3437147	5.1
	"1999"	"1999"	"Oklahoma"	"40"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	144	3437147	4.2
	"1999"	"1999"	"Oklahoma"	"40"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	150	3437147	4.4
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm of thyroid gland"	"C73"	12	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Head, face and neck - Malignant neoplasms"	"C76.0"	22	3437147	0.6
	"1999"	"1999"	"Oklahoma"	"40"	"Abdomen - Malignant neoplasms"	"C76.2"	12	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	10	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	34	3437147	1.0
	"1999"	"1999"	"Oklahoma"	"40"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	20	3437147	0.6
	"1999"	"1999"	"Oklahoma"	"40"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	29	3437147	0.8
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasm without specification of site"	"C80"	394	3437147	11.5
	"1999"	"1999"	"Oklahoma"	"40"	"Hodgkin disease, unspecified"	"C81.9"	21	3437147	0.6
	"1999"	"1999"	"Oklahoma"	"40"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	29	3437147	0.8
	"1999"	"1999"	"Oklahoma"	"40"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	10	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	242	3437147	7.0
	"1999"	"1999"	"Oklahoma"	"40"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	81	3437147	2.4
	"1999"	"1999"	"Oklahoma"	"40"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	25	3437147	0.7
	"1999"	"1999"	"Oklahoma"	"40"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	59	3437147	1.7
	"1999"	"1999"	"Oklahoma"	"40"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	78	3437147	2.3
	"1999"	"1999"	"Oklahoma"	"40"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	27	3437147	0.8
	"1999"	"1999"	"Oklahoma"	"40"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	24	3437147	0.7
	"1999"	"1999"	"Oklahoma"	"40"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	24	3437147	0.7
	"1999"	"1999"	"Oklahoma"	"40"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	66	3437147	1.9
	"1999"	"1999"	"Oklahoma"	"40"	"Trachea, bronchus and lung - Uncertain neoplasms"	"D38.1"	11	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	32	3437147	0.9
	"1999"	"1999"	"Oklahoma"	"40"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	47	3437147	1.4
	"1999"	"1999"	"Oklahoma"	"40"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	12	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Aplastic anaemia, unspecified"	"D61.9"	19	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Anaemia, unspecified"	"D64.9"	25	3437147	0.7
	"1999"	"1999"	"Oklahoma"	"40"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	12	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Hypothyroidism, unspecified"	"E03.9"	13	3437147	Unreliable
	"1999"	"1999"	"Oklahoma"	"40"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	109	3437147	3.2
	"1999"	"1999"	"Oklahoma"	"40"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	17	3437147	Unreliable
