"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Rhode Island"	"44"	"Septicaemia, unspecified"	"A41.9"	70	1040402	6.7
	"1999"	"1999"	"Rhode Island"	"44"	"Acute hepatitis C"	"B17.1"	13	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	46	1040402	4.4
	"1999"	"1999"	"Rhode Island"	"44"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	74	1040402	7.1
	"1999"	"1999"	"Rhode Island"	"44"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	228	1040402	21.9
	"1999"	"1999"	"Rhode Island"	"44"	"Malignant neoplasm of rectum"	"C20"	31	1040402	3.0
	"1999"	"1999"	"Rhode Island"	"44"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	13	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	20	1040402	1.9
	"1999"	"1999"	"Rhode Island"	"44"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	18	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	128	1040402	12.3
	"1999"	"1999"	"Rhode Island"	"44"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	14	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	695	1040402	66.8
	"1999"	"1999"	"Rhode Island"	"44"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	30	1040402	2.9
	"1999"	"1999"	"Rhode Island"	"44"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	15	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	180	1040402	17.3
	"1999"	"1999"	"Rhode Island"	"44"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	11	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Endometrium - Malignant neoplasms"	"C54.1"	19	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Malignant neoplasm of uterus, part unspecified"	"C55"	12	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Malignant neoplasm of ovary"	"C56"	56	1040402	5.4
	"1999"	"1999"	"Rhode Island"	"44"	"Malignant neoplasm of prostate"	"C61"	133	1040402	12.8
	"1999"	"1999"	"Rhode Island"	"44"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	61	1040402	5.9
	"1999"	"1999"	"Rhode Island"	"44"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	66	1040402	6.3
	"1999"	"1999"	"Rhode Island"	"44"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	59	1040402	5.7
	"1999"	"1999"	"Rhode Island"	"44"	"Malignant neoplasm without specification of site"	"C80"	126	1040402	12.1
	"1999"	"1999"	"Rhode Island"	"44"	"Hodgkin disease, unspecified"	"C81.9"	12	1040402	Unreliable
	"1999"	"1999"	"Rhode Island"	"44"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	82	1040402	7.9
	"1999"	"1999"	"Rhode Island"	"44"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	38	1040402	3.7
	"1999"	"1999"	"Rhode Island"	"44"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	19	1040402	Unreliable
