"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"South Carolina"	"45"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	15	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	15	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Septicaemia, unspecified"	"A41.9"	419	3974682	10.5
	"1999"	"1999"	"South Carolina"	"45"	"Staphylococcal infection, unspecified"	"A49.0"	11	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Bacterial infection, unspecified"	"A49.9"	13	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	11	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Acute hepatitis C"	"B17.1"	61	3974682	1.5
	"1999"	"1999"	"South Carolina"	"45"	"HIV disease resulting in other bacterial infections"	"B20.1"	18	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"HIV disease resulting in other viral infections"	"B20.3"	10	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"HIV disease resulting in multiple infections"	"B20.7"	33	3974682	0.8
	"1999"	"1999"	"South Carolina"	"45"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	28	3974682	0.7
	"1999"	"1999"	"South Carolina"	"45"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	26	3974682	0.7
	"1999"	"1999"	"South Carolina"	"45"	"HIV disease resulting in other specified conditions"	"B23.8"	73	3974682	1.8
	"1999"	"1999"	"South Carolina"	"45"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	66	3974682	1.7
	"1999"	"1999"	"South Carolina"	"45"	"Unspecified mycosis"	"B49"	20	3974682	0.5
	"1999"	"1999"	"South Carolina"	"45"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	23	3974682	0.6
	"1999"	"1999"	"South Carolina"	"45"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	33	3974682	0.8
	"1999"	"1999"	"South Carolina"	"45"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	17	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	19	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	10	3974682	Unreliable
	"1999"	"1999"	"South Carolina"	"45"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	38	3974682	1.0
	"1999"	"1999"	"South Carolina"	"45"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	187	3974682	4.7
	"1999"	"1999"	"South Carolina"	"45"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	181	3974682	4.6
