"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"South Dakota"	"46"	"Septicaemia, unspecified"	"A41.9"	57	750412	7.6
	"1999"	"1999"	"South Dakota"	"46"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	29	750412	3.9
	"1999"	"1999"	"South Dakota"	"46"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	26	750412	3.5
	"1999"	"1999"	"South Dakota"	"46"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	155	750412	20.7
	"1999"	"1999"	"South Dakota"	"46"	"Malignant neoplasm of rectum"	"C20"	17	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	11	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	12	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	95	750412	12.7
	"1999"	"1999"	"South Dakota"	"46"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	10	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	402	750412	53.6
	"1999"	"1999"	"South Dakota"	"46"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	18	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	10	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	111	750412	14.8
	"1999"	"1999"	"South Dakota"	"46"	"Malignant neoplasm of ovary"	"C56"	57	750412	7.6
	"1999"	"1999"	"South Dakota"	"46"	"Malignant neoplasm of prostate"	"C61"	114	750412	15.2
	"1999"	"1999"	"South Dakota"	"46"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	34	750412	4.5
	"1999"	"1999"	"South Dakota"	"46"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	31	750412	4.1
	"1999"	"1999"	"South Dakota"	"46"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	55	750412	7.3
	"1999"	"1999"	"South Dakota"	"46"	"Abdomen - Malignant neoplasms"	"C76.2"	11	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Malignant neoplasm without specification of site"	"C80"	69	750412	9.2
	"1999"	"1999"	"South Dakota"	"46"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	75	750412	10.0
	"1999"	"1999"	"South Dakota"	"46"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	26	750412	3.5
	"1999"	"1999"	"South Dakota"	"46"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	16	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	25	750412	3.3
	"1999"	"1999"	"South Dakota"	"46"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	10	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	15	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	18	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	28	750412	3.7
	"1999"	"1999"	"South Dakota"	"46"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	32	750412	4.3
	"1999"	"1999"	"South Dakota"	"46"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	12	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Unspecified diabetes mellitus, without complications"	"E14.9"	102	750412	13.6
	"1999"	"1999"	"South Dakota"	"46"	"Unspecified protein-energy malnutrition"	"E46"	10	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Unspecified dementia"	"F03"	117	750412	15.6
	"1999"	"1999"	"South Dakota"	"46"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	14	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	10	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Motor neuron disease"	"G12.2"	14	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Parkinson disease"	"G20"	40	750412	5.3
	"1999"	"1999"	"South Dakota"	"46"	"Alzheimer disease, unspecified"	"G30.9"	150	750412	20.0
	"1999"	"1999"	"South Dakota"	"46"	"Essential (primary) hypertension"	"I10"	19	750412	Unreliable
	"1999"	"1999"	"South Dakota"	"46"	"Acute myocardial infarction, unspecified"	"I21.9"	767	750412	102.2
	"1999"	"1999"	"South Dakota"	"46"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	142	750412	18.9
	"1999"	"1999"	"South Dakota"	"46"	"Atherosclerotic heart disease"	"I25.1"	526	750412	70.1
	"1999"	"1999"	"South Dakota"	"46"	"Ischaemic cardiomyopathy"	"I25.5"	24	750412	3.2
	"1999"	"1999"	"South Dakota"	"46"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	44	750412	5.9
