"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Texas"	"48"	"Enterocolitis due to Clostridium difficile"	"A04.7"	29	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	44	20558220	0.2
	"1999"	"1999"	"Texas"	"48"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	28	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"Pulmonary mycobacterial infection"	"A31.0"	13	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	15	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Streptococcal septicaemia, unspecified"	"A40.9"	13	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	31	20558220	0.2
	"1999"	"1999"	"Texas"	"48"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	43	20558220	0.2
	"1999"	"1999"	"Texas"	"48"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	51	20558220	0.2
	"1999"	"1999"	"Texas"	"48"	"Septicaemia, unspecified"	"A41.9"	1739	20558220	8.5
	"1999"	"1999"	"Texas"	"48"	"Staphylococcal infection, unspecified"	"A49.0"	30	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"Other bacterial infections of unspecified site"	"A49.8"	10	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Bacterial infection, unspecified"	"A49.9"	57	20558220	0.3
	"1999"	"1999"	"Texas"	"48"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	11	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Hepatitis A without hepatic coma"	"B15.9"	14	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	60	20558220	0.3
	"1999"	"1999"	"Texas"	"48"	"Acute hepatitis C"	"B17.1"	313	20558220	1.5
	"1999"	"1999"	"Texas"	"48"	"Chronic viral hepatitis B without delta-agent"	"B18.1"	14	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Chronic viral hepatitis C"	"B18.2"	61	20558220	0.3
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in mycobacterial infection"	"B20.0"	22	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in other bacterial infections"	"B20.1"	89	20558220	0.4
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in other viral infections"	"B20.3"	52	20558220	0.3
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in other mycoses"	"B20.5"	32	20558220	0.2
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	60	20558220	0.3
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in multiple infections"	"B20.7"	104	20558220	0.5
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	96	20558220	0.5
	"1999"	"1999"	"Texas"	"48"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	55	20558220	0.3
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in other malignant neoplasms"	"B21.8"	14	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in encephalopathy"	"B22.0"	24	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in wasting syndrome"	"B22.2"	25	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	76	20558220	0.4
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	24	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"HIV disease resulting in other specified conditions"	"B23.8"	173	20558220	0.8
	"1999"	"1999"	"Texas"	"48"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	192	20558220	0.9
	"1999"	"1999"	"Texas"	"48"	"Viral infection, unspecified"	"B34.9"	12	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Candidal septicaemia"	"B37.7"	15	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Cerebral cryptococcosis"	"B45.1"	11	20558220	Unreliable
	"1999"	"1999"	"Texas"	"48"	"Unspecified mycosis"	"B49"	28	20558220	0.1
	"1999"	"1999"	"Texas"	"48"	"Pneumocystosis"	"B59"	12	20558220	Unreliable
