"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Utah"	"49"	"Septicaemia, unspecified"	"A41.9"	97	2203482	4.4
	"1999"	"1999"	"Utah"	"49"	"Acute hepatitis C"	"B17.1"	21	2203482	1.0
	"1999"	"1999"	"Utah"	"49"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	43	2203482	2.0
	"1999"	"1999"	"Utah"	"49"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	58	2203482	2.6
	"1999"	"1999"	"Utah"	"49"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	198	2203482	9.0
	"1999"	"1999"	"Utah"	"49"	"Malignant neoplasm of rectum"	"C20"	29	2203482	1.3
	"1999"	"1999"	"Utah"	"49"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	32	2203482	1.5
	"1999"	"1999"	"Utah"	"49"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	17	2203482	Unreliable
	"1999"	"1999"	"Utah"	"49"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	15	2203482	Unreliable
	"1999"	"1999"	"Utah"	"49"	"Malignant neoplasm of gallbladder"	"C23"	11	2203482	Unreliable
	"1999"	"1999"	"Utah"	"49"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	119	2203482	5.4
	"1999"	"1999"	"Utah"	"49"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	401	2203482	18.2
	"1999"	"1999"	"Utah"	"49"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	12	2203482	Unreliable
	"1999"	"1999"	"Utah"	"49"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	47	2203482	2.1
	"1999"	"1999"	"Utah"	"49"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	26	2203482	1.2
	"1999"	"1999"	"Utah"	"49"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	185	2203482	8.4
	"1999"	"1999"	"Utah"	"49"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	15	2203482	Unreliable
	"1999"	"1999"	"Utah"	"49"	"Endometrium - Malignant neoplasms"	"C54.1"	13	2203482	Unreliable
	"1999"	"1999"	"Utah"	"49"	"Malignant neoplasm of ovary"	"C56"	80	2203482	3.6
	"1999"	"1999"	"Utah"	"49"	"Malignant neoplasm of prostate"	"C61"	190	2203482	8.6
