"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Washington"	"53"	"Enterocolitis due to Clostridium difficile"	"A04.7"	20	5842564	0.3
	"1999"	"1999"	"Washington"	"53"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	11	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Septicaemia, unspecified"	"A41.9"	259	5842564	4.4
	"1999"	"1999"	"Washington"	"53"	"Bacterial infection, unspecified"	"A49.9"	15	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	19	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Acute hepatitis C"	"B17.1"	73	5842564	1.2
	"1999"	"1999"	"Washington"	"53"	"Chronic viral hepatitis C"	"B18.2"	26	5842564	0.4
	"1999"	"1999"	"Washington"	"53"	"HIV disease resulting in multiple infections"	"B20.7"	13	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	10	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	11	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"HIV disease resulting in other specified conditions"	"B23.8"	18	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	11	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Sequelae of viral hepatitis"	"B94.2"	23	5842564	0.4
	"1999"	"1999"	"Washington"	"53"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	28	5842564	0.5
	"1999"	"1999"	"Washington"	"53"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	21	5842564	0.4
	"1999"	"1999"	"Washington"	"53"	"Malignant neoplasm of parotid gland"	"C07"	11	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Tonsil, unspecified - Malignant neoplasms"	"C09.9"	16	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	12	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	13	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	24	5842564	0.4
	"1999"	"1999"	"Washington"	"53"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	260	5842564	4.5
	"1999"	"1999"	"Washington"	"53"	"Cardia - Malignant neoplasms"	"C16.0"	22	5842564	0.4
	"1999"	"1999"	"Washington"	"53"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	193	5842564	3.3
	"1999"	"1999"	"Washington"	"53"	"Duodenum - Malignant neoplasms"	"C17.0"	11	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Small intestine, unspecified - Malignant neoplasms"	"C17.9"	13	5842564	Unreliable
	"1999"	"1999"	"Washington"	"53"	"Caecum - Malignant neoplasms"	"C18.0"	11	5842564	Unreliable
